FlowCell Text Data File: 38.1.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 14:50:05
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
712604.400, 338958.500, -0.50, 0.409181, , 
712627.667, 338964.533, -0.40, 0.409147, , 
712265.333, 338927.367, -0.30, 0.410045, , 
712343.933, 338906.067, -0.20, 0.409655, , 
251240.500, 338971.267, -0.10, 2.755380, , 
712343.933, 338906.067, 0.00, 0.409655, , 
251240.500, 338971.267, 0.10, 2.755380, , 
174732.167, 338970.300, 0.17, 3.572633, , 
175915.067, 338878.267, 0.27, 3.556838, , 
174698.600, 338952.167, 0.37, 3.572945, , 
173671.867, 338918.200, 0.47, 3.585985, , 
172541.533, 338916.100, 0.57, 3.600666, , 
171524.667, 339020.533, 0.67, 3.614661, , 
169625.000, 339038.700, 0.77, 3.639845, , 
170244.233, 339023.433, 0.87, 3.631543, , 
166075.733, 338954.167, 0.97, 3.686872, , 
161644.300, 338839.567, 1.07, 3.746975, , 
160241.233, 338908.667, 1.17, 3.767053, , 
155000.600, 338850.267, 1.27, 3.841495, , 
150766.533, 338900.367, 1.37, 3.904157, , 
147165.967, 338809.267, 1.47, 3.957949, , 
147443.600, 338828.467, 1.57, 3.953835, , 
137507.267, 338837.967, 1.66, 4.110908, , 
130682.600, 338829.800, 1.76, 4.225413, , 
124993.567, 338842.233, 1.87, 4.325661, , 
119578.067, 338744.133, 1.96, 4.424687, , 
115066.067, 338901.367, 2.06, 4.512290, , 
110251.633, 338759.233, 2.16, 4.607532, , 
105392.333, 338880.233, 2.26, 4.709775, , 
100756.300, 338785.033, 2.36, 4.810379, , 
96855.033, 338894.600, 2.46, 4.899975, , 
93120.467, 338752.500, 2.56, 4.987521, , 
89424.300, 338629.467, 2.66, 5.077850, , 
86443.833, 338702.867, 2.76, 5.154622, , 
83496.467, 338911.567, 2.86, 5.234077, , 
81377.000, 338768.200, 2.96, 5.290987, , 
79280.500, 338927.867, 3.06, 5.350785, , 
77981.733, 338936.300, 3.16, 5.388013, , 
76998.867, 338850.900, 3.26, 5.415990, , 
76544.700, 338910.767, 3.36, 5.429701, , 
76928.100, 338897.533, 3.45, 5.418369, , 
77956.533, 338844.833, 3.55, 5.388133, , 
79101.600, 338904.267, 3.66, 5.355713, , 
80788.167, 338897.833, 3.75, 5.308191, , 
83264.700, 338832.467, 3.85, 5.239807, , 
86317.967, 338809.700, 3.95, 5.158611, , 
89962.167, 338905.400, 4.05, 5.066188, , 
94400.700, 338851.200, 4.15, 4.957449, , 
99321.867, 338801.867, 4.25, 4.842760, , 
105474.600, 338894.367, 4.35, 4.708113, , 
112627.533, 338932.100, 4.45, 4.560699, , 
120601.467, 338786.467, 4.55, 4.405790, , 
129777.367, 338698.733, 4.65, 4.240185, , 
139762.933, 338795.633, 4.75, 4.074010, , 
151207.100, 338756.400, 4.85, 3.896634, , 
163650.967, 338789.700, 4.95, 3.718879, , 
177090.900, 338837.733, 5.05, 3.541577, , 
192190.333, 338801.767, 5.15, 3.357201, , 
208265.267, 338793.400, 5.24, 3.176376, , 
225567.033, 338879.667, 5.34, 2.997353, , 
243508.300, 338822.300, 5.44, 2.824738, , 
262559.967, 338769.967, 5.55, 2.654869, , 
282214.500, 338831.133, 5.64, 2.492821, , 
301855.967, 338723.433, 5.74, 2.340690, , 
320351.567, 338641.600, 5.84, 2.206315, , 
339467.400, 338630.600, 5.94, 2.075810, , 
359344.533, 338726.867, 6.04, 1.948391, , 
377693.033, 338764.500, 6.14, 1.836569, , 
394467.067, 338528.700, 6.24, 1.737212, , 
413722.000, 338592.933, 6.34, 1.630386, , 
431302.000, 338592.867, 6.44, 1.536736, , 
446424.233, 338724.500, 6.54, 1.460058, , 
462079.600, 338741.500, 6.64, 1.382604, , 
476883.900, 338771.867, 6.74, 1.311836, , 
492385.867, 338790.633, 6.83, 1.239970, , 
505106.433, 338828.900, 6.93, 1.182824, , 
517281.867, 338842.667, 7.03, 1.129313, , 
529377.300, 338959.567, 7.13, 1.078073, , 
539263.733, 338936.333, 7.23, 1.036279, , 
550794.333, 338885.433, 7.33, 0.988329, , 
561083.233, 338901.733, 7.43, 0.946786, , 
569187.433, 338987.300, 7.53, 0.915082, , 
576049.500, 338859.833, 7.63, 0.887267, , 
584389.433, 338956.167, 7.73, 0.855559, , 
591376.933, 338831.067, 7.83, 0.827979, , 
597836.733, 338834.333, 7.93, 0.803552, , 
603915.400, 338948.033, 8.03, 0.781541, , 
608017.733, 338832.433, 8.13, 0.765538, , 
612577.133, 338665.600, 8.23, 0.747617, , 
618155.100, 338806.333, 8.33, 0.728153, , 
623218.000, 338922.467, 8.43, 0.710567, , 
627680.433, 338765.667, 8.53, 0.693470, , 
631056.567, 338909.867, 8.63, 0.682355, , 
634335.867, 338921.467, 8.72, 0.670768, , 
638691.367, 338885.100, 8.83, 0.655127, , 
641889.867, 338859.333, 8.92, 0.643714, , 
645047.067, 338832.433, 9.02, 0.632494, , 
648147.700, 338877.567, 9.12, 0.622002, , 
650749.467, 338883.900, 9.22, 0.613029, , 
652687.867, 338710.100, 9.32, 0.605181, , 
655442.700, 338763.300, 9.42, 0.596056, , 
657336.433, 338792.967, 9.52, 0.589760, , 
660316.133, 338869.167, 9.62, 0.580088, , 
661929.400, 338730.833, 9.72, 0.573678, , 
664046.000, 338825.933, 9.82, 0.567125, , 
666021.667, 338773.533, 9.92, 0.560091, , 
666579.367, 338751.700, 10.02, 0.558062, , 
667829.900, 338748.033, 10.12, 0.553820, , 
670302.733, 338816.400, 10.21, 0.545957, , 
671150.900, 338801.467, 10.31, 0.543012, , 
673537.700, 338711.533, 10.42, 0.534425, , 
674742.100, 338792.300, 10.51, 0.530941, , 
676436.033, 338945.767, 10.61, 0.526318, , 
678466.400, 338923.200, 10.71, 0.519423, , 
680016.933, 338912.067, 10.81, 0.514212, , 
680229.500, 338815.900, 10.91, 0.512870, , 
682220.767, 338833.000, 11.01, 0.506406, , 
682988.767, 338804.433, 11.11, 0.503684, , 
683774.333, 338775.767, 11.21, 0.500907, , 
684724.100, 338826.533, 11.31, 0.498120, , 
685884.533, 338839.500, 11.41, 0.494396, , 
687050.067, 338819.900, 11.51, 0.490444, , 
687987.467, 338714.067, 11.61, 0.486673, , 
689196.033, 338629.000, 11.71, 0.482158, , 
689814.167, 338724.000, 11.81, 0.480772, , 
690518.267, 338741.867, 11.91, 0.478595, , 
691692.867, 338727.667, 12.00, 0.474675, , 
692394.967, 338704.467, 12.11, 0.472238, , 
693838.067, 338636.833, 12.21, 0.467103, , 
694999.833, 338677.100, 12.30, 0.463606, , 
695701.833, 338795.633, 12.40, 0.462121, , 
696524.200, 338776.900, 12.50, 0.459338, , 
697131.667, 338663.667, 12.60, 0.456624, , 
698245.300, 338689.300, 12.70, 0.453202, , 
698319.700, 338427.833, 12.80, 0.451225, , 
699030.300, 338494.833, 12.90, 0.449381, , 
699826.433, 338407.167, 13.00, 0.446237, , 
700322.733, 338456.967, 13.10, 0.444972, , 
701380.800, 338512.867, 13.20, 0.441947, , 
701150.100, 338378.433, 13.30, 0.441793, , 
701848.833, 338407.167, 13.40, 0.439743, , 
702045.100, 338439.800, 13.50, 0.439330, , 
702347.367, 338400.167, 13.60, 0.438098, , 
702679.800, 338422.633, 13.70, 0.437183, , 
702282.567, 338370.833, 13.79, 0.438111, , 
702022.800, 338287.000, 13.90, 0.438386, , 
701913.433, 338346.267, 14.00, 0.439130, , 
701350.800, 338360.000, 14.09, 0.441026, , 
700633.800, 338387.100, 14.19, 0.443508, , 
699120.900, 338292.733, 14.29, 0.447746, , 
697416.267, 338330.600, 14.39, 0.453491, , 
695506.233, 338398.633, 14.49, 0.460115, , 
692080.933, 338360.633, 14.59, 0.470973, , 
688176.667, 338242.833, 14.69, 0.482921, , 
683270.633, 338330.767, 14.79, 0.499607, , 
677040.467, 338259.233, 14.89, 0.519745, , 
669757.067, 338256.267, 14.99, 0.544066, , 
660958.467, 338311.167, 15.09, 0.574191, , 
651219.733, 338253.433, 15.19, 0.607212, , 
639652.267, 338294.000, 15.29, 0.647815, , 
627909.500, 338277.567, 15.39, 0.689404, , 
613562.033, 338190.233, 15.49, 0.740841, , 
600292.267, 338372.967, 15.59, 0.791261, , 
584369.567, 338338.733, 15.68, 0.851532, , 
570320.733, 338331.200, 15.79, 0.906246, , 
554164.900, 338332.267, 15.88, 0.970923, , 
539966.533, 338303.533, 15.98, 1.029142, , 
524219.200, 338371.233, 16.08, 1.096199, , 
510846.167, 338520.833, 16.18, 1.155348, , 
498577.200, 338417.133, 16.28, 1.209367, , 
485265.367, 338437.100, 16.38, 1.270402, , 
473758.300, 338465.500, 16.48, 1.324598, , 
466022.300, 338446.767, 16.58, 1.361525, , 
457816.933, 338355.833, 16.68, 1.400897, , 
449412.433, 338402.000, 16.78, 1.442901, , 
443257.600, 338331.500, 16.88, 1.473465, , 
437462.900, 338380.700, 16.98, 1.503406, , 
434405.833, 338343.800, 17.08, 1.518942, , 
431924.233, 338359.733, 17.18, 1.531941, , 
429939.033, 338333.533, 17.28, 1.542134, , 
429990.933, 338293.633, 17.38, 1.541597, , 
431186.833, 338238.767, 17.47, 1.534982, , 
433328.167, 338237.900, 17.57, 1.523828, , 
436651.667, 338122.167, 17.68, 1.505863, , 
442699.767, 338288.467, 17.77, 1.476013, , 
449451.600, 338264.100, 17.87, 1.441787, , 
457681.200, 338370.733, 17.97, 1.401663, , 
466449.433, 338224.833, 18.07, 1.357987, , 
476601.900, 338264.533, 18.17, 1.309795, , 
487452.233, 338222.900, 18.27, 1.258859, , 
499690.700, 338355.000, 18.37, 1.203933, , 
510794.000, 338244.067, 18.47, 1.153737, , 
522862.067, 338282.167, 18.57, 1.101440, , 
535730.400, 338303.067, 18.67, 1.046864, , 
546067.533, 338205.233, 18.77, 1.003203, , 
557490.900, 338130.667, 18.86, 0.956115, , 
567829.233, 338159.767, 18.97, 0.914958, , 
576257.300, 338054.700, 19.07, 0.881102, , 
585013.933, 338032.600, 19.17, 0.847015, , 
592902.433, 338155.433, 19.26, 0.817690, , 
599629.033, 338132.433, 19.36, 0.792149, , 
605237.733, 338176.133, 19.46, 0.771488, , 
609266.367, 338252.733, 19.56, 0.757068, , 
