FlowCell Text Data File: 85.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:12:09
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
627157.667, 335221.567, 9.64, 0.671677, , 
630169.433, 335289.300, 9.74, 0.661350, , 
633097.100, 335387.867, 9.84, 0.651581, , 
635165.467, 335232.400, 9.94, 0.643197, , 
638243.133, 335313.933, 10.04, 0.632866, , 
638839.500, 335168.800, 10.14, 0.629790, , 
640814.967, 335316.900, 10.24, 0.623836, , 
642092.300, 335264.767, 10.34, 0.619005, , 
643904.400, 335267.833, 10.44, 0.612683, , 
646303.433, 335274.667, 10.53, 0.604360, , 
647523.767, 335193.900, 10.64, 0.599573, , 
649082.800, 335022.700, 10.74, 0.593011, , 
651751.500, 335235.933, 10.83, 0.585210, , 
653626.633, 335233.800, 10.93, 0.578730, , 
655193.233, 335292.267, 11.04, 0.573735, , 
657124.967, 335314.800, 11.13, 0.567261, , 
658113.933, 335293.367, 11.23, 0.563733, , 
659560.067, 335321.533, 11.33, 0.558982, , 
662270.500, 335357.000, 11.43, 0.549991, , 
662302.467, 335121.100, 11.53, 0.548299, , 
663442.433, 335071.433, 11.63, 0.544095, , 
663681.900, 335032.833, 11.73, 0.543024, , 
666169.367, 335099.867, 11.83, 0.535055, , 
666885.400, 335134.500, 11.93, 0.532870, , 
667399.800, 335178.667, 12.03, 0.531431, , 
668784.400, 335211.267, 12.13, 0.526986, , 
671249.300, 335283.400, 12.23, 0.519192, , 
671687.633, 335179.533, 12.33, 0.517025, , 
673205.000, 335215.233, 12.43, 0.512187, , 
674403.867, 335166.600, 12.53, 0.507856, , 
675398.233, 335200.333, 12.62, 0.504767, , 
676365.233, 335219.400, 12.73, 0.501675, , 
677290.867, 335140.467, 12.83, 0.498068, , 
678207.800, 335289.700, 12.92, 0.496025, , 
679105.133, 335248.367, 13.02, 0.492772, , 
679999.033, 335226.567, 13.12, 0.489665, , 
681206.600, 335211.467, 13.22, 0.485571, , 
681558.100, 335175.333, 13.32, 0.484167, , 
681971.600, 335103.400, 13.42, 0.482319, , 
682869.700, 335223.767, 13.52, 0.480166, , 
683027.767, 335127.067, 13.62, 0.478996, , 
683781.033, 335353.567, 13.72, 0.478036, , 
684009.200, 335285.733, 13.82, 0.476830, , 
684399.467, 335290.533, 13.92, 0.475578, , 
684908.500, 335381.833, 14.02, 0.474518, , 
684629.300, 335252.367, 14.12, 0.474567, , 
684446.900, 335265.767, 14.22, 0.475256, , 
684207.700, 335295.633, 14.32, 0.476243, , 
683548.933, 335336.100, 14.42, 0.478683, , 
682444.667, 335281.533, 14.52, 0.481955, , 
681104.467, 335135.667, 14.61, 0.485399, , 
679517.233, 335147.567, 14.71, 0.490730, , 
677109.767, 335216.833, 14.81, 0.499182, , 
673981.200, 335171.600, 14.91, 0.509301, , 
670088.300, 335257.067, 15.01, 0.522910, , 
665059.033, 335220.567, 15.11, 0.539620, , 
659045.767, 335255.067, 15.21, 0.560291, , 
651296.500, 335226.133, 15.31, 0.586715, , 
642985.967, 335201.067, 15.41, 0.615447, , 
633326.533, 335141.267, 15.51, 0.649110, , 
622715.967, 335110.733, 15.61, 0.686928, , 
610866.700, 335118.067, 15.71, 0.730212, , 
598841.467, 335076.233, 15.81, 0.774674, , 
585987.933, 335213.133, 15.91, 0.824422, , 
572301.667, 335197.833, 16.00, 0.877504, , 
559331.200, 335242.067, 16.11, 0.929391, , 
545352.000, 335188.167, 16.21, 0.985988, , 
532722.333, 335163.300, 16.30, 1.038551, , 
520289.933, 335277.267, 16.40, 1.092459, , 
508630.767, 335127.933, 16.50, 1.142460, , 
498270.767, 335066.400, 16.60, 1.188357, , 
488170.233, 335077.067, 16.70, 1.234517, , 
478592.700, 335113.433, 16.80, 1.279352, , 
471082.800, 335188.467, 16.90, 1.315449, , 
464037.733, 335258.167, 17.00, 1.349826, , 
458011.933, 335264.167, 17.10, 1.379281, , 
453390.933, 335216.933, 17.20, 1.401784, , 
449611.467, 335212.800, 17.30, 1.420595, , 
447129.533, 335144.700, 17.40, 1.432595, , 
445793.300, 335179.933, 17.50, 1.439567, , 
446127.367, 335182.533, 17.60, 1.437899, , 
447269.067, 335222.233, 17.70, 1.432413, , 
450204.067, 335169.367, 17.80, 1.417339, , 
454781.833, 335091.333, 17.89, 1.394048, , 
460306.700, 335108.033, 17.99, 1.366985, , 
467250.567, 335111.767, 18.10, 1.333316, , 
474985.500, 335209.667, 18.19, 1.297024, , 
483714.333, 335147.633, 18.29, 1.255626, , 
493287.533, 335153.400, 18.39, 1.211562, , 
503526.233, 335187.300, 18.49, 1.165557, , 
514063.000, 335224.767, 18.59, 1.119202, , 
524508.633, 335381.967, 18.69, 1.074988, , 
535598.067, 335384.833, 18.79, 1.027923, , 
545751.067, 335181.933, 18.89, 0.984300, , 
555753.900, 335153.033, 18.99, 0.943232, , 
565227.500, 335241.767, 19.09, 0.905790, , 
574179.000, 335233.833, 19.19, 0.870375, , 
582943.400, 335302.067, 19.29, 0.836742, , 
590302.233, 335360.600, 19.38, 0.808904, , 
597093.400, 335173.067, 19.49, 0.781903, , 
602719.733, 335207.767, 19.59, 0.761029, , 
608414.033, 335258.900, 19.68, 0.740211, , 
613155.200, 335241.633, 19.78, 0.722626, , 
616037.800, 335114.300, 19.89, 0.711216, , 
619422.333, 335222.900, 19.98, 0.699615, , 
621636.000, 335152.900, 20.08, 0.691117, , 
623113.967, 335239.867, 20.18, 0.686357, , 
624898.700, 335221.000, 20.28, 0.679794, , 
626282.300, 335182.533, 20.38, 0.674558, , 
626217.900, 335220.133, 20.48, 0.675042, , 
