FlowCell Text Data File: 38.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:18:58
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
705093.733, 334753.333, -0.50, 0.404932, , 
705241.400, 334773.033, -0.40, 0.404593, , 
704746.900, 334728.000, -0.30, 0.405869, , 
695903.867, 334718.500, -0.20, 0.434221, , 
177505.300, 334777.267, -0.10, 3.509186, , 
695903.867, 334718.500, 0.00, 0.434221, , 
177505.300, 334777.267, 0.10, 3.509186, , 
197278.600, 334778.200, 0.19, 3.271509, , 
196804.667, 334699.767, 0.29, 3.276395, , 
196226.233, 334865.433, 0.39, 3.284133, , 
195337.933, 334882.367, 0.49, 3.294457, , 
194395.700, 334844.967, 0.59, 3.305087, , 
193147.567, 334949.767, 0.69, 3.320287, , 
191161.800, 334918.967, 0.79, 3.343337, , 
189000.700, 334809.767, 0.89, 3.368189, , 
186566.733, 334762.033, 0.98, 3.397038, , 
183658.100, 334890.367, 1.09, 3.433262, , 
179943.200, 334821.700, 1.19, 3.478787, , 
176096.067, 334807.233, 1.28, 3.527325, , 
172575.033, 334902.433, 1.38, 3.573418, , 
168224.233, 334857.967, 1.48, 3.630583, , 
163647.100, 334820.833, 1.58, 3.692413, , 
159171.967, 334910.133, 1.68, 3.755411, , 
154442.800, 334904.633, 1.78, 3.823250, , 
149732.233, 334820.867, 1.88, 3.892395, , 
144284.300, 334787.633, 1.98, 3.975579, , 
138911.967, 334873.733, 2.08, 4.061551, , 
133307.200, 334829.233, 2.18, 4.153935, , 
128170.000, 334824.067, 2.28, 4.242339, , 
123103.600, 334955.633, 2.38, 4.333986, , 
117328.233, 334860.167, 2.48, 4.441480, , 
112512.133, 334880.233, 2.58, 4.535940, , 
107598.100, 334943.433, 2.68, 4.636865, , 
103744.567, 334930.500, 2.77, 4.718854, , 
100344.267, 334930.933, 2.87, 4.793853, , 
96951.600, 335053.033, 2.98, 4.872077, , 
93679.833, 334917.767, 3.07, 4.948423, , 
91036.000, 335018.067, 3.17, 5.013522, , 
88902.767, 334901.667, 3.27, 5.066102, , 
87157.667, 334996.933, 3.37, 5.111356, , 
85872.300, 334977.733, 3.47, 5.144663, , 
85335.467, 334879.500, 3.57, 5.158115, , 
85193.067, 334984.633, 3.67, 5.162580, , 
85380.067, 334922.400, 3.77, 5.157228, , 
86133.867, 334919.367, 3.87, 5.137426, , 
87608.500, 334937.800, 3.97, 5.099348, , 
89661.700, 334910.367, 4.07, 5.047031, , 
92210.833, 334981.433, 4.17, 4.984420, , 
95426.767, 334942.633, 4.26, 4.907011, , 
99039.000, 334868.800, 4.37, 4.822901, , 
104276.933, 334901.067, 4.47, 4.707138, , 
109466.967, 334871.900, 4.56, 4.597632, , 
115694.200, 334809.167, 4.66, 4.472699, , 
123967.833, 334807.400, 4.77, 4.317246, , 
131859.767, 334944.600, 4.86, 4.179279, , 
140542.300, 334843.000, 4.96, 4.035087, , 
151168.300, 334748.333, 5.06, 3.870427, , 
162941.667, 334745.567, 5.16, 3.701629, , 
175128.100, 334810.033, 5.26, 3.539749, , 
188645.400, 334717.333, 5.36, 3.371802, , 
203356.733, 334868.000, 5.46, 3.203824, , 
219516.133, 334852.800, 5.56, 3.031645, , 
234539.167, 334846.700, 5.66, 2.882632, , 
251712.067, 334842.100, 5.76, 2.723578, , 
269684.100, 334752.300, 5.86, 2.567772, , 
286976.333, 334806.067, 5.96, 2.428272, , 
304765.333, 334711.500, 6.05, 2.292290, , 
323337.833, 334854.200, 6.16, 2.160123, , 
342004.400, 334780.867, 6.26, 2.033323, , 
360439.500, 334880.067, 6.35, 1.915841, , 
378658.133, 334911.600, 6.45, 1.805084, , 
395158.500, 334894.800, 6.55, 1.708983, , 
411739.700, 334894.767, 6.65, 1.616480, , 
424304.800, 334845.033, 6.75, 1.548496, , 
438547.900, 334836.833, 6.85, 1.474138, , 
454762.433, 334853.700, 6.95, 1.392547, , 
468792.700, 334784.667, 7.05, 1.323703, , 
483230.433, 334924.200, 7.15, 1.256378, , 
496702.233, 334915.933, 7.25, 1.194442, , 
508656.300, 334998.000, 7.35, 1.141474, , 
517681.000, 335003.267, 7.45, 1.101932, , 
526904.400, 334951.633, 7.55, 1.061842, , 
537756.633, 334906.467, 7.65, 1.015659, , 
545861.967, 334994.133, 7.75, 0.982582, , 
554135.700, 335000.533, 7.85, 0.948770, , 
561177.467, 334885.167, 7.94, 0.919578, , 
568441.100, 334927.400, 8.05, 0.890920, , 
573709.767, 334869.767, 8.15, 0.869770, , 
579985.167, 334764.400, 8.24, 0.844580, , 
585625.200, 334891.367, 8.34, 0.823654, , 
590269.333, 334870.733, 8.44, 0.805740, , 
596082.833, 334871.033, 8.54, 0.783686, , 
601471.867, 334945.833, 8.64, 0.763934, , 
603395.100, 334882.267, 8.74, 0.756323, , 
605948.800, 334858.933, 8.84, 0.746662, , 
610427.933, 334958.300, 8.94, 0.730756, , 
615252.067, 334803.867, 9.04, 0.712003, , 
618031.767, 334814.633, 9.14, 0.701931, , 
621978.700, 334797.400, 9.24, 0.687488, , 
624425.767, 334884.200, 9.34, 0.679235, , 
627867.733, 334808.233, 9.44, 0.666354, , 
631666.700, 334808.733, 9.54, 0.652782, , 
633464.800, 334959.100, 9.63, 0.647395, , 
636965.600, 334963.433, 9.73, 0.635022, , 
639215.400, 334925.233, 9.84, 0.626830, , 
640705.133, 334800.000, 9.93, 0.620750, , 
642728.833, 334919.267, 10.03, 0.614455, , 
645371.933, 334958.800, 10.13, 0.605485, , 
646772.633, 334875.900, 10.23, 0.600049, , 
649546.100, 334855.633, 10.33, 0.590283, , 
650671.467, 334805.667, 10.43, 0.586052, , 
652619.633, 334777.933, 10.53, 0.579137, , 
653815.900, 334861.633, 10.63, 0.575579, , 
655662.800, 334647.533, 10.73, 0.567791, , 
657909.133, 334918.833, 10.83, 0.561918, , 
658468.600, 334860.000, 10.93, 0.559610, , 
660258.533, 334920.667, 11.03, 0.553908, , 
661568.900, 334938.633, 11.13, 0.549567, , 
662344.633, 334808.867, 11.23, 0.546058, , 
663078.000, 334953.667, 11.33, 0.544541, , 
665067.200, 334912.400, 11.43, 0.537522, , 
666053.533, 334939.033, 11.52, 0.534366, , 
666784.167, 335048.100, 11.62, 0.532631, , 
667073.067, 334919.233, 11.73, 0.530791, , 
668438.933, 334845.333, 11.82, 0.525691, , 
670984.967, 334821.633, 11.92, 0.516976, , 
672104.267, 334795.933, 12.02, 0.513053, , 
673129.000, 334921.433, 12.12, 0.510468, , 
674062.333, 334886.300, 12.22, 0.507113, , 
675242.867, 334825.000, 12.32, 0.502763, , 
676783.033, 334886.067, 12.42, 0.498047, , 
677673.433, 334879.400, 12.52, 0.495043, , 
678824.867, 334914.867, 12.62, 0.491461, , 
679719.700, 334942.967, 12.72, 0.488685, , 
680755.100, 334923.133, 12.82, 0.485126, , 
681714.333, 334891.167, 12.92, 0.481743, , 
682869.933, 334897.233, 13.02, 0.477972, , 
684121.467, 335070.633, 13.11, 0.475016, , 
684672.433, 335111.867, 13.22, 0.473481, , 
685524.833, 334947.500, 13.32, 0.469577, , 
685635.733, 334898.367, 13.41, 0.468883, , 
686894.700, 335093.067, 13.51, 0.466063, , 
687857.367, 334949.233, 13.61, 0.461945, , 
688806.767, 334977.967, 13.71, 0.459034, , 
689428.767, 334939.700, 13.81, 0.456746, , 
689973.600, 334969.233, 13.91, 0.455166, , 
690199.533, 334790.633, 14.01, 0.453229, , 
690750.733, 334871.133, 14.11, 0.451974, , 
690819.433, 334931.567, 14.21, 0.452156, , 
691282.833, 334994.833, 14.31, 0.451072, , 
691103.333, 334913.033, 14.41, 0.451107, , 
690422.900, 334908.367, 14.51, 0.453292, , 
689536.600, 334748.833, 14.61, 0.455111, , 
688678.333, 334810.600, 14.71, 0.458329, , 
687358.067, 334843.000, 14.81, 0.462865, , 
685102.800, 334728.200, 14.90, 0.469489, , 
682337.800, 334772.800, 15.01, 0.478890, , 
679047.267, 334733.567, 15.11, 0.489505, , 
674738.533, 334727.500, 15.20, 0.503789, , 
669623.133, 334786.233, 15.30, 0.521311, , 
662926.733, 334749.233, 15.40, 0.543680, , 
655541.967, 334807.833, 15.50, 0.569284, , 
647078.767, 334861.700, 15.60, 0.598889, , 
637439.633, 334848.467, 15.70, 0.632575, , 
626732.800, 334856.567, 15.80, 0.670750, , 
615347.867, 334914.267, 15.90, 0.712394, , 
602539.133, 334874.233, 16.00, 0.759463, , 
589910.300, 334930.600, 16.10, 0.807511, , 
576698.900, 334922.400, 16.20, 0.858429, , 
564438.900, 335001.300, 16.30, 0.907317, , 
551934.567, 334995.033, 16.40, 0.957690, , 
538675.000, 334883.933, 16.50, 1.011668, , 
526004.233, 335024.167, 16.60, 1.066178, , 
514239.500, 334907.133, 16.70, 1.116296, , 
503567.567, 334754.500, 16.79, 1.162465, , 
494054.633, 334828.633, 16.89, 1.205883, , 
485338.300, 334807.667, 17.00, 1.245800, , 
477886.300, 334823.500, 17.09, 1.280728, , 
471502.933, 334835.567, 17.19, 1.311072, , 
466140.233, 334842.567, 17.29, 1.336861, , 
461815.633, 334884.467, 17.39, 1.358119, , 
458815.367, 334838.300, 17.49, 1.372476, , 
457117.667, 334779.733, 17.59, 1.380425, , 
456206.267, 334755.900, 17.69, 1.384756, , 
455749.167, 334679.200, 17.79, 1.386497, , 
457565.333, 334756.100, 17.89, 1.378063, , 
460303.600, 334738.700, 17.99, 1.364519, , 
464054.267, 334773.600, 18.09, 1.346491, , 
469256.900, 334757.333, 18.19, 1.321292, , 
475792.200, 334767.700, 18.28, 1.290236, , 
483559.533, 334730.500, 18.39, 1.253544, , 
492390.067, 334896.400, 18.48, 1.213933, , 
501598.467, 334821.867, 18.58, 1.171735, , 
511370.167, 334759.033, 18.68, 1.127893, , 
522000.133, 334724.300, 18.79, 1.081359, , 
532210.167, 334760.633, 18.88, 1.038011, , 
542549.500, 334657.133, 18.98, 0.994015, , 
552675.033, 334712.800, 19.08, 0.952776, , 
563474.933, 334902.300, 19.18, 0.910498, , 
573118.000, 334738.400, 19.28, 0.871209, , 
582602.500, 334803.967, 19.38, 0.834713, , 
590388.100, 334678.600, 19.48, 0.803995, , 
597990.500, 334648.033, 19.58, 0.774996, , 
604824.667, 334674.967, 19.68, 0.749604, , 
611153.933, 334631.900, 19.78, 0.725887, , 
616347.433, 334621.467, 19.88, 0.706773, , 
620394.267, 334654.767, 19.98, 0.692270, , 
623808.933, 334576.333, 20.07, 0.679390, , 
627405.067, 334668.100, 20.18, 0.667071, , 
629017.033, 334642.433, 20.28, 0.661124, , 
631288.500, 334876.067, 20.37, 0.654582, , 
631410.167, 334598.200, 20.47, 0.652280, , 
632611.700, 334717.567, 20.58, 0.648805, , 
632726.267, 334671.767, 20.67, 0.648089, , 
631996.500, 334583.767, 20.77, 0.650095, , 
630990.067, 334585.067, 20.87, 0.653690, , 
631343.733, 334661.500, 20.97, 0.652943, , 
630760.100, 334729.167, 21.07, 0.655479, , 
630282.633, 334716.867, 21.17, 0.657101, , 
628867.867, 334678.467, 21.27, 0.661900, , 
628480.267, 334757.667, 21.37, 0.663820, , 
628161.433, 334864.333, 21.47, 0.665679, , 
627242.167, 334704.433, 21.57, 0.667899, , 
626845.233, 334739.533, 21.67, 0.669560, , 
625795.700, 334668.433, 21.77, 0.672853, , 
624728.000, 334667.300, 21.87, 0.676688, , 
623636.867, 334674.000, 21.96, 0.680667, , 
621915.300, 334603.700, 22.07, 0.686415, , 
620421.700, 334685.833, 22.16, 0.692379, , 
617982.367, 334609.100, 22.26, 0.700729, , 
615659.467, 334686.267, 22.36, 0.709722, , 
612941.867, 334762.167, 22.46, 0.720188, , 
609466.000, 334722.667, 22.56, 0.732721, , 
606203.467, 334691.767, 22.66, 0.744592, , 
602445.267, 334669.600, 22.76, 0.758438, , 
598360.333, 334665.367, 22.86, 0.773721, , 
594422.433, 334702.033, 22.96, 0.788827, , 
590271.133, 334780.167, 23.06, 0.805124, , 
585880.567, 334720.133, 23.16, 0.821522, , 
581613.900, 334798.867, 23.26, 0.838500, , 
576978.367, 334859.033, 23.36, 0.856913, , 
572195.933, 334855.567, 23.46, 0.875621, , 
566821.167, 334762.067, 23.56, 0.896231, , 
561109.733, 334710.833, 23.66, 0.918677, , 
554929.067, 334761.300, 23.75, 0.943943, , 
548752.133, 334855.633, 23.86, 0.969767, , 
541739.833, 334754.333, 23.95, 0.998029, , 
535173.967, 334840.567, 24.05, 1.026051, , 
528034.333, 334759.167, 24.15, 1.055728, , 
521348.367, 334781.033, 24.25, 1.084552, , 
514934.633, 334779.967, 24.35, 1.112402, , 
508641.233, 334814.767, 24.45, 1.140309, , 
503140.933, 334772.833, 24.55, 1.164496, , 
498479.833, 334876.533, 24.65, 1.186138, , 
494160.433, 334775.900, 24.75, 1.205047, , 
490711.767, 334841.200, 24.85, 1.221246, , 
488495.900, 334827.900, 24.95, 1.231342, , 
487034.133, 334747.833, 25.05, 1.237548, , 
486620.667, 334762.733, 25.15, 1.239559, , 
486868.967, 334764.867, 25.25, 1.238426, , 
488467.133, 334856.667, 25.35, 1.231668, , 
490398.500, 334767.133, 25.44, 1.222185, , 
493465.167, 334840.033, 25.54, 1.208646, , 
497084.800, 334946.567, 25.64, 1.192915, , 
501292.800, 335001.300, 25.75, 1.174312, , 
505762.900, 334863.133, 25.84, 1.153406, , 
510221.167, 334723.967, 25.94, 1.132720, , 
515250.200, 334739.100, 26.04, 1.110748, , 
520849.033, 334748.300, 26.14, 1.086488, , 
526525.767, 334647.933, 26.24, 1.061419, , 
531543.767, 334605.667, 26.34, 1.039788, , 
536948.500, 334687.333, 26.44, 1.017571, , 
542001.567, 334680.767, 26.54, 0.996447, , 
547403.567, 334811.367, 26.64, 0.975007, , 
552160.300, 334676.167, 26.74, 0.954627, , 
557141.933, 334683.233, 26.84, 0.934462, , 
561788.733, 334741.667, 26.94, 0.916163, , 
565837.800, 334651.533, 27.03, 0.899395, , 
570608.633, 334770.933, 27.14, 0.881303, , 
574812.533, 334800.200, 27.24, 0.864981, , 
578296.533, 334677.700, 27.33, 0.850558, , 
581657.467, 334732.433, 27.43, 0.837885, , 
584052.267, 334763.767, 27.54, 0.828849, , 
586671.233, 334753.500, 27.63, 0.818712, , 
588857.667, 334722.100, 27.73, 0.810129, , 
591550.667, 334766.867, 27.83, 0.800162, , 
593433.833, 334764.333, 27.93, 0.792992, , 
596232.733, 334744.367, 28.03, 0.782269, , 
597945.833, 334905.233, 28.13, 0.776893, , 
599091.733, 334857.633, 28.23, 0.772265, , 
600297.333, 334968.367, 28.33, 0.768485, , 
601013.033, 334934.033, 28.43, 0.765572, , 
601646.967, 334955.167, 28.53, 0.763342, , 
601520.567, 334889.600, 28.63, 0.763374, , 
601138.600, 334772.000, 28.73, 0.764013, , 
601051.533, 334820.367, 28.83, 0.764664, , 
600086.267, 334751.367, 28.92, 0.767818, , 
599407.633, 334906.733, 29.03, 0.771408, , 
597945.333, 334808.133, 29.13, 0.776242, , 
596038.933, 334726.000, 29.22, 0.782877, , 
594306.000, 334782.800, 29.32, 0.789811, , 
592441.167, 334787.100, 29.42, 0.796913, , 
589607.700, 334745.867, 29.52, 0.807424, , 
586776.400, 334652.467, 29.62, 0.817629, , 
583815.767, 334720.733, 29.72, 0.829472, , 
580288.567, 334692.900, 29.82, 0.842922, , 
576781.667, 334651.533, 29.92, 0.856285, , 
573250.700, 334811.300, 30.02, 0.871179, , 
568817.867, 334738.500, 30.12, 0.888159, , 
564243.033, 334747.800, 30.22, 0.906394, , 
559434.833, 334820.633, 30.32, 0.926143, , 
554063.167, 334767.033, 30.42, 0.947496, , 
548441.767, 334780.400, 30.52, 0.970535, , 
542064.133, 334743.500, 30.62, 0.996609, , 
535433.467, 334741.733, 30.72, 1.024295, , 
528051.300, 334733.433, 30.81, 1.055483, , 
520701.900, 334938.700, 30.91, 1.088404, , 
511592.800, 334800.733, 31.02, 1.127194, , 
501968.433, 334661.867, 31.11, 1.169000, , 
491687.433, 334812.933, 31.21, 1.216586, , 
479990.433, 334882.100, 31.31, 1.271235, , 
466774.400, 334844.800, 31.41, 1.333817, , 
451039.000, 334835.100, 31.51, 1.410924, , 
434326.067, 334829.667, 31.61, 1.495860, , 
416075.767, 334876.567, 31.71, 1.592782, , 
395938.633, 334799.633, 31.81, 1.703905, , 
374830.967, 334815.200, 31.91, 1.827298, , 
352112.433, 334817.200, 32.01, 1.968019, , 
327897.000, 334813.533, 32.11, 2.128340, , 
305522.567, 334873.733, 32.20, 2.287796, , 
281448.000, 334842.533, 32.31, 2.472293, , 
259585.367, 334848.167, 32.41, 2.654306, , 
237813.567, 334882.400, 32.51, 2.851671, , 
217538.467, 334873.900, 32.60, 3.052153, , 
198257.867, 334846.767, 32.70, 3.260827, , 
181962.933, 334893.033, 32.80, 3.454148, , 
166331.233, 334757.067, 32.90, 3.655372, , 
151533.267, 334848.700, 33.00, 3.865675, , 
139159.100, 334819.967, 33.10, 4.057190, , 
128218.433, 334843.267, 33.20, 4.241618, , 
118380.767, 334800.767, 33.30, 4.420982, , 
110065.167, 334772.767, 33.40, 4.584702, , 
102815.667, 334668.000, 33.50, 4.737330, , 
96348.700, 334818.133, 33.60, 4.884537, , 
90770.300, 334789.267, 33.70, 5.018563, , 
86217.233, 334835.500, 33.80, 5.134685, , 
82204.300, 334827.667, 33.90, 5.241894, , 
78628.467, 334736.933, 33.99, 5.341370, , 
75779.100, 334648.400, 34.10, 5.423841, , 
73405.333, 334656.600, 34.20, 5.495518, , 
71099.467, 334687.500, 34.29, 5.567552, , 
69214.767, 334782.633, 34.39, 5.628651, , 
67738.900, 334873.967, 34.49, 5.677770, , 
66532.500, 334788.867, 34.59, 5.717639, , 
65649.033, 334926.900, 34.69, 5.748649, , 
64734.467, 334805.500, 34.79, 5.779405, , 
64259.767, 334826.933, 34.89, 5.796113, , 
63778.600, 334794.433, 34.99, 5.812808, , 
63597.567, 334900.900, 35.09, 5.819921, , 
63439.733, 334661.033, 35.19, 5.823900, , 
63434.900, 334750.667, 35.29, 5.824675, , 
63715.400, 334812.500, 35.39, 5.815161, , 
64076.933, 334787.800, 35.49, 5.802262, , 
64409.833, 334879.933, 35.59, 5.791219, , 
64949.533, 334782.800, 35.69, 5.771788, , 
65651.100, 334757.400, 35.79, 5.747439, , 
66512.833, 334783.567, 35.88, 5.718268, , 
67674.833, 334770.433, 35.99, 5.679204, , 
69084.600, 334718.567, 36.09, 5.632457, , 
70468.067, 334704.200, 36.18, 5.587739, , 
72068.267, 334590.133, 36.28, 5.536440, , 
74044.533, 334777.067, 36.38, 5.476816, , 
76240.367, 334767.567, 36.48, 5.410985, , 
78864.000, 334679.733, 36.58, 5.334254, , 
81903.033, 334779.500, 36.68, 5.249833, , 
85422.967, 334788.067, 36.78, 5.155195, , 
89281.800, 334806.267, 36.88, 5.055887, , 
93734.467, 334778.400, 36.98, 4.946174, , 
98588.000, 334770.133, 37.08, 4.832509, , 
104220.433, 334702.267, 37.18, 4.707021, , 
110854.333, 334675.833, 37.28, 4.567972, , 
117704.067, 334722.567, 37.38, 4.433358, , 
124970.200, 334879.267, 37.48, 4.299606, , 
133168.400, 334790.333, 37.58, 4.156018, , 
141383.833, 334734.167, 37.67, 4.020920, , 
149517.767, 334726.600, 37.78, 3.894987, , 
157858.533, 334827.233, 37.88, 3.773501, , 
166692.500, 334785.700, 37.97, 3.650682, , 
174954.067, 334787.733, 38.07, 3.541836, , 
183295.967, 334766.167, 38.17, 3.436869, , 
190552.867, 334863.233, 38.27, 3.350142, , 
198438.933, 334906.933, 38.37, 3.259177, , 
205051.367, 334867.900, 38.47, 3.185147, , 
212762.233, 334842.767, 38.57, 3.101904, , 
220018.967, 334886.700, 38.67, 3.026723, , 
227625.067, 334873.267, 38.77, 2.950150, , 
234363.800, 334839.700, 38.87, 2.884268, , 
241294.033, 334724.933, 38.97, 2.817915, , 
247986.400, 334769.333, 39.07, 2.756647, , 
254683.600, 334899.600, 39.17, 2.697553, , 
261435.767, 334868.067, 39.27, 2.638455, , 
267983.033, 334827.900, 39.37, 2.582520, , 
274814.400, 334820.667, 39.47, 2.525823, , 
281816.867, 334782.367, 39.56, 2.468941, , 
288282.100, 334671.900, 39.66, 2.417154, , 
295045.067, 334695.033, 39.77, 2.365125, , 
300216.033, 334731.833, 39.86, 2.326273, , 
306803.300, 334690.200, 39.96, 2.277148, , 
313624.433, 334757.600, 40.06, 2.228116, , 
320222.133, 334815.733, 40.16, 2.181655, , 
325204.900, 334878.433, 40.26, 2.147329, , 
331171.467, 334797.933, 40.36, 2.105873, , 
337972.100, 334757.433, 40.46, 2.059856, , 
345066.000, 334793.800, 40.56, 2.013354, , 
350571.800, 334855.733, 40.66, 1.978146, , 
357856.633, 334757.033, 40.76, 1.931198, , 
364101.600, 334761.467, 40.86, 1.892294, , 
370741.767, 334771.133, 40.96, 1.851687, , 
376919.867, 334726.933, 41.06, 1.814198, , 
383644.667, 334772.633, 41.16, 1.774708, , 
389583.333, 334704.800, 41.25, 1.739683, , 
395925.700, 334752.500, 41.35, 1.703662, , 
402584.467, 334752.467, 41.45, 1.666128, , 
408971.833, 334719.833, 41.56, 1.630484, , 
415713.667, 334712.633, 41.65, 1.593640, , 
420749.633, 334697.767, 41.75, 1.566442, , 
428448.667, 334682.900, 41.85, 1.525535, , 
433695.933, 334708.533, 41.95, 1.498313, , 
440077.367, 334716.033, 42.05, 1.465492, , 
