FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
704965.333, 332032.933, 9.53, 0.518625, , 
706945.667, 331981.233, 9.62, 0.511962, , 
708750.200, 331965.400, 9.72, 0.506118, , 
709952.167, 331879.667, 9.82, 0.501723, , 
711689.633, 331882.800, 9.92, 0.496243, , 
712525.467, 331953.033, 10.02, 0.494078, , 
713694.500, 331794.200, 10.12, 0.489312, , 
715143.300, 331967.833, 10.22, 0.485926, , 
716737.533, 331954.500, 10.32, 0.480824, , 
717469.833, 331911.867, 10.42, 0.478237, , 
718640.033, 331927.167, 10.52, 0.474673, , 
720001.867, 331902.833, 10.62, 0.470247, , 
720959.433, 331916.033, 10.72, 0.467346, , 
722406.500, 331920.367, 10.81, 0.462863, , 
723473.467, 331996.067, 10.92, 0.460055, , 
724350.133, 331926.967, 11.02, 0.456861, , 
725704.833, 331968.133, 11.11, 0.452935, , 
727655.067, 332142.233, 11.21, 0.448076, , 
728221.633, 332003.133, 11.31, 0.445381, , 
729530.867, 332052.967, 11.41, 0.441677, , 
730325.533, 332054.167, 11.51, 0.439235, , 
730821.400, 331978.500, 11.61, 0.437195, , 
731868.400, 332107.933, 11.71, 0.434850, , 
732494.867, 332090.000, 11.81, 0.432803, , 
733388.467, 332125.700, 11.91, 0.430301, , 
734045.333, 332160.067, 12.01, 0.428519, , 
734565.000, 332136.133, 12.11, 0.426765, , 
734807.867, 332028.267, 12.21, 0.425290, , 
735576.567, 332091.400, 12.31, 0.423364, , 
735510.633, 332064.367, 12.41, 0.423383, , 
736191.300, 332197.000, 12.51, 0.422200, , 
735833.000, 332220.567, 12.60, 0.423455, , 
735885.500, 332218.300, 12.71, 0.423279, , 
735016.000, 332071.933, 12.81, 0.424948, , 
734527.967, 332074.133, 12.90, 0.426458, , 
