FlowCell Text Data File: 85.1.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 14:58:08
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
688830.100, 336556.900, -0.49, 0.469540, , 
688900.900, 336541.833, -0.40, 0.469208, , 
688753.067, 336472.700, -0.30, 0.469229, , 
688311.633, 336473.300, -0.20, 0.470676, , 
516776.567, 336569.100, -0.10, 1.116361, , 
688311.633, 336473.300, 0.00, 0.470676, , 
516776.567, 336569.100, 0.10, 1.116361, , 
211227.667, 336532.867, 0.17, 3.129525, , 
211710.667, 336717.500, 0.28, 3.125619, , 
211097.600, 336592.700, 0.37, 3.131311, , 
210249.467, 336566.500, 0.47, 3.140196, , 
209373.867, 336558.500, 0.57, 3.149534, , 
208432.800, 336578.433, 0.67, 3.159805, , 
207107.067, 336463.533, 0.77, 3.173396, , 
205565.433, 336603.200, 0.87, 3.191144, , 
203853.400, 336667.733, 0.97, 3.210397, , 
201442.233, 336512.933, 1.07, 3.236139, , 
198900.733, 336544.000, 1.17, 3.264920, , 
195273.067, 336523.300, 1.27, 3.306205, , 
192224.467, 336627.467, 1.37, 3.342312, , 
188645.867, 336622.367, 1.47, 3.384569, , 
185214.467, 336738.933, 1.57, 3.426659, , 
180527.200, 336711.467, 1.67, 3.484161, , 
175962.300, 336642.700, 1.77, 3.541339, , 
171289.767, 336585.867, 1.87, 3.601525, , 
165772.600, 336613.267, 1.96, 3.675387, , 
160494.667, 336590.167, 2.07, 3.748048, , 
154691.500, 336472.633, 2.16, 3.830141, , 
148642.933, 336552.833, 2.26, 3.920438, , 
143243.033, 336530.967, 2.37, 4.003567, , 
138030.967, 336612.067, 2.46, 4.087521, , 
132738.567, 336584.367, 2.56, 4.175320, , 
127478.533, 336613.767, 2.66, 4.266510, , 
122030.067, 336714.200, 2.76, 4.365482, , 
116725.200, 336585.167, 2.86, 4.464640, , 
112516.300, 336478.133, 2.96, 4.546570, , 
108263.733, 336479.100, 3.06, 4.633281, , 
104329.767, 336449.967, 3.16, 4.716382, , 
100875.233, 336537.267, 3.26, 4.792743, , 
98080.600, 336564.033, 3.36, 4.856148, , 
95215.833, 336508.700, 3.46, 4.922488, , 
93280.800, 336532.733, 3.56, 4.968855, , 
91919.233, 336539.533, 3.65, 5.001991, , 
91293.567, 336593.633, 3.75, 5.017723, , 
91220.933, 336633.167, 3.86, 5.019778, , 
