FlowCell Text Data File: 38.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:05:26
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
675795.567, 336024.533, -0.50, 0.508970, , 
675979.133, 336123.867, -0.40, 0.509024, , 
675656.567, 336051.067, -0.30, 0.509611, , 
675272.467, 336131.100, -0.20, 0.511426, , 
427147.533, 335964.733, -0.10, 1.540982, , 
675272.467, 336131.100, 0.00, 0.511426, , 
427147.533, 335964.733, 0.10, 1.540982, , 
147241.067, 335972.600, 0.19, 3.937879, , 
147067.433, 336101.967, 0.30, 3.941401, , 
146985.600, 336106.600, 0.39, 3.942685, , 
146921.800, 336041.300, 0.49, 3.943225, , 
146940.400, 336016.867, 0.59, 3.942776, , 
146550.400, 335966.433, 0.69, 3.948419, , 
145655.300, 335930.200, 0.79, 3.961964, , 
144558.567, 335941.500, 0.89, 3.979049, , 
143140.367, 335879.167, 0.99, 4.000818, , 
141537.800, 335936.967, 1.09, 4.026543, , 
139233.933, 335850.667, 1.19, 4.062897, , 
136592.200, 335855.733, 1.29, 4.106040, , 
133681.800, 335804.900, 1.39, 4.154168, , 
130418.533, 335842.500, 1.48, 4.210036, , 
127539.600, 335856.967, 1.59, 4.260367, , 
124062.067, 335856.833, 1.69, 4.322579, , 
120314.767, 335872.467, 1.78, 4.391706, , 
116059.400, 335965.300, 1.89, 4.473365, , 
111733.833, 335947.600, 1.98, 4.558723, , 
107683.500, 335955.600, 2.08, 4.641870, , 
103035.733, 335860.367, 2.18, 4.740522, , 
98134.067, 336020.767, 2.28, 4.851286, , 
94098.300, 335982.167, 2.38, 4.945534, , 
90425.067, 335916.733, 2.48, 5.034704, , 
87181.200, 336015.633, 2.58, 5.117581, , 
83989.500, 336126.500, 2.68, 5.202258, , 
81349.667, 336116.367, 2.78, 5.274058, , 
79044.933, 336146.100, 2.88, 5.338935, , 
76875.033, 336152.300, 2.98, 5.401618, , 
75250.900, 336062.167, 3.08, 5.449069, , 
73836.000, 336093.367, 3.17, 5.491994, , 
72975.800, 336077.233, 3.28, 5.518258, , 
72451.400, 335900.233, 3.38, 5.533303, , 
72608.033, 335970.367, 3.47, 5.528912, , 
73322.367, 336061.200, 3.57, 5.507489, , 
74278.100, 336034.933, 3.67, 5.478169, , 
76116.233, 336061.733, 3.78, 5.423335, , 
78183.233, 336068.733, 3.87, 5.363085, , 
80717.000, 335977.967, 3.97, 5.290702, , 
83739.400, 335978.433, 4.07, 5.207978, , 
87097.867, 336085.600, 4.17, 5.120202, , 
91262.567, 336163.567, 4.27, 5.015610, , 
96562.933, 336085.033, 4.37, 4.888038, , 
101636.100, 336090.133, 4.47, 4.772841, , 
108457.133, 335976.467, 4.57, 4.625900, , 
116079.267, 335901.100, 4.67, 4.472549, , 
123959.500, 335871.167, 4.77, 4.324536, , 
133333.300, 335952.067, 4.87, 4.161028, , 
143686.600, 335985.467, 4.97, 3.992959, , 
155110.133, 336007.133, 5.06, 3.820944, , 
167529.167, 336026.200, 5.17, 3.647738, , 
181394.433, 336085.167, 5.27, 3.469186, , 
195670.200, 336020.167, 5.36, 3.298266, , 
211940.400, 335992.133, 5.46, 3.118325, , 
227032.700, 336078.867, 5.56, 2.964101, , 
246055.033, 336037.200, 5.66, 2.782749, , 
264906.000, 336163.100, 5.76, 2.617466, , 
281326.267, 336052.867, 5.86, 2.481386, , 
302628.000, 336060.767, 5.96, 2.317182, , 
318512.200, 336106.633, 6.06, 2.202364, , 
340129.600, 336100.300, 6.16, 2.054545, , 
357019.167, 336278.667, 6.26, 1.946677, , 
375674.200, 336179.333, 6.36, 1.831391, , 
394826.533, 336199.800, 6.46, 1.719627, , 
410366.700, 336172.633, 6.56, 1.632568, , 
424855.367, 336106.033, 6.66, 1.554037, , 
441696.967, 336131.067, 6.76, 1.466718, , 
457654.267, 336143.000, 6.85, 1.386930, , 
468642.333, 336147.633, 6.96, 1.333568, , 
477321.767, 336222.300, 7.06, 1.292770, , 
491324.333, 336205.333, 7.15, 1.227588, , 
506581.700, 336158.800, 7.26, 1.158456, , 
516939.333, 336218.133, 7.35, 1.113304, , 
525977.967, 336271.400, 7.45, 1.074652, , 
538555.767, 336195.100, 7.55, 1.020960, , 
543636.167, 336210.033, 7.65, 0.999930, , 
553239.600, 336220.767, 7.75, 0.960595, , 
562651.667, 336323.133, 7.85, 0.923316, , 
566393.200, 336210.933, 7.95, 0.907650, , 
575434.367, 336145.867, 8.05, 0.871575, , 
583014.533, 336178.033, 8.15, 0.842339, , 
584803.300, 336147.300, 8.25, 0.835239, , 
588406.067, 336247.400, 8.35, 0.822087, , 
596417.500, 336095.033, 8.45, 0.790633, , 
602615.300, 335954.467, 8.55, 0.766427, , 
607719.133, 335965.433, 8.64, 0.747520, , 
609968.067, 336143.633, 8.75, 0.740401, , 
612215.867, 336151.067, 8.85, 0.732173, , 
615051.067, 336047.133, 8.94, 0.721079, , 
620570.067, 336012.067, 9.04, 0.700741, , 
623912.667, 336079.700, 9.14, 0.689105, , 
627421.500, 336095.233, 9.24, 0.676588, , 
629673.400, 336063.333, 9.34, 0.668312, , 
632330.667, 336071.500, 9.44, 0.658889, , 
634635.300, 335976.900, 9.54, 0.650069, , 
636258.567, 336022.567, 9.64, 0.644626, , 
639430.200, 335965.700, 9.74, 0.633055, , 
641200.267, 336079.633, 9.84, 0.627597, , 
643822.533, 336143.900, 9.94, 0.618842, , 
644876.000, 336056.067, 10.04, 0.614575, , 
647345.833, 336055.667, 10.14, 0.605970, , 
649219.267, 336025.633, 10.24, 0.599265, , 
652649.333, 336125.967, 10.33, 0.588078, , 
654204.733, 336063.667, 10.44, 0.582304, , 
654936.367, 336095.833, 10.54, 0.580004, , 
657143.633, 336101.200, 10.63, 0.572469, , 
659711.467, 335967.433, 10.73, 0.562796, , 
659498.033, 336044.167, 10.84, 0.564038, , 
661613.800, 336031.567, 10.93, 0.556746, , 
664408.167, 335998.800, 11.03, 0.547041, , 
664547.033, 336015.033, 11.13, 0.546680, , 
665577.233, 336005.467, 11.23, 0.543130, , 
667623.167, 335903.200, 11.33, 0.535538, , 
667446.967, 335920.133, 11.43, 0.536245, , 
669099.000, 335997.667, 11.53, 0.531201, , 
671132.333, 335917.767, 11.63, 0.523838, , 
671232.567, 336052.267, 11.73, 0.524402, , 
673428.733, 335988.967, 11.83, 0.516627, , 
671643.967, 336054.733, 11.93, 0.523040, , 
674202.833, 335952.367, 12.03, 0.513797, , 
676379.267, 335970.300, 12.12, 0.506664, , 
676462.533, 335983.033, 12.23, 0.506472, , 
677620.300, 336082.133, 12.33, 0.503288, , 
679995.067, 335873.333, 12.42, 0.494016, , 
679404.667, 335824.867, 12.52, 0.495646, , 
680727.367, 335932.133, 12.62, 0.491988, , 
682684.600, 335826.000, 12.72, 0.484815, , 
683109.133, 335862.000, 12.82, 0.483658, , 
684795.800, 335915.400, 12.92, 0.478466, , 
684134.600, 335872.500, 13.02, 0.480352, , 
685971.700, 335817.500, 13.12, 0.473949, , 
686714.400, 335825.367, 13.22, 0.471566, , 
687275.167, 335906.467, 13.32, 0.470273, , 
688979.733, 335830.033, 13.42, 0.464186, , 
689137.100, 335900.067, 13.52, 0.464141, , 
689524.700, 335929.300, 13.61, 0.463072, , 
690389.667, 335942.167, 13.72, 0.460337, , 
690323.567, 335831.600, 13.82, 0.459811, , 
690196.500, 335850.367, 13.92, 0.460351, , 
691237.900, 335867.333, 14.01, 0.457072, , 
690988.767, 335839.533, 14.11, 0.457697, , 
690811.400, 335783.500, 14.21, 0.457899, , 
691077.633, 335883.167, 14.31, 0.457700, , 
690520.433, 335887.467, 14.41, 0.459544, , 
688928.767, 335951.400, 14.51, 0.465165, , 
687493.367, 335861.267, 14.61, 0.469255, , 
684559.367, 335818.267, 14.71, 0.478592, , 
682103.567, 335886.333, 14.81, 0.487136, , 
678372.867, 335890.133, 14.91, 0.499504, , 
