FlowCell Text Data File: 38.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:47:21
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
701883.933, 333788.033, -0.50, 0.395124, , 
701763.067, 333780.300, -0.40, 0.395459, , 
701036.800, 333864.100, -0.30, 0.398354, , 
700881.633, 333902.333, -0.20, 0.399110, , 
247688.133, 333988.567, -0.10, 2.740524, , 
700881.633, 333902.333, 0.00, 0.399110, , 
247688.133, 333988.567, 0.10, 2.740524, , 
179706.567, 333837.200, 0.20, 3.461545, , 
179531.600, 333848.033, 0.29, 3.463810, , 
179304.967, 333929.767, 0.39, 3.467203, , 
179076.567, 333902.567, 0.50, 3.469888, , 
178176.333, 333836.033, 0.59, 3.480782, , 
176410.733, 333781.767, 0.69, 3.502827, , 
174668.333, 333773.100, 0.79, 3.525107, , 
172919.333, 333804.900, 0.89, 3.547969, , 
171709.533, 333827.100, 0.99, 3.563919, , 
169523.367, 333890.567, 1.09, 3.593182, , 
166726.433, 333822.100, 1.19, 3.630160, , 
164061.567, 333856.400, 1.29, 3.666652, , 
161146.933, 333833.400, 1.39, 3.706836, , 
158123.233, 333699.933, 1.49, 3.748564, , 
154917.967, 333868.633, 1.59, 3.795788, , 
151045.700, 333861.967, 1.69, 3.852709, , 
147806.733, 333790.833, 1.79, 3.901012, , 
144315.400, 333805.300, 1.89, 3.954904, , 
140779.033, 333874.067, 1.98, 4.011200, , 
137263.133, 333839.067, 2.09, 4.067882, , 
133953.100, 333801.200, 2.18, 4.122560, , 
130306.733, 333968.433, 2.28, 4.185796, , 
