FlowCell Text Data File: 39.1.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:23:08
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
736745.933, 336257.100, -0.50, 0.302619, , 
736355.933, 336232.133, -0.40, 0.303644, , 
734995.667, 336182.467, -0.30, 0.307472, , 
734408.833, 336233.500, -0.20, 0.309611, , 
423241.100, 336248.900, -0.10, 1.549983, , 
734408.833, 336233.500, 0.00, 0.309611, , 
423241.100, 336248.900, 0.10, 1.549983, , 
184861.167, 336140.167, 0.19, 3.413374, , 
184983.733, 336255.400, 0.29, 3.412654, , 
184618.100, 336173.133, 0.39, 3.416556, , 
184150.300, 336220.667, 0.49, 3.422583, , 
183388.033, 336265.267, 0.59, 3.432217, , 
182281.267, 336286.700, 0.69, 3.445983, , 
181130.467, 336259.000, 0.78, 3.460050, , 
179721.633, 336234.567, 0.88, 3.477459, , 
178089.967, 336122.600, 0.98, 3.497234, , 
176027.767, 336113.833, 1.08, 3.523387, , 
174844.633, 336057.400, 1.18, 3.538186, , 
173258.300, 336179.233, 1.28, 3.559512, , 
171310.633, 336209.067, 1.38, 3.585153, , 
169012.000, 336078.200, 1.48, 3.614678, , 
167328.033, 336111.600, 1.58, 3.637436, , 
165040.267, 336063.967, 1.68, 3.668098, , 
162423.100, 336109.333, 1.78, 3.704375, , 
159454.300, 336124.333, 1.88, 3.745990, , 
156631.833, 336179.800, 1.98, 3.786552, , 
153554.733, 336106.667, 2.08, 3.830714, , 
150431.500, 336160.433, 2.18, 3.877318, , 
147476.833, 336186.600, 2.28, 3.922135, , 
144404.067, 336149.333, 2.37, 3.969270, , 
141539.600, 336114.733, 2.48, 4.014128, , 
138562.067, 336118.967, 2.57, 4.062003, , 
136007.767, 336218.967, 2.67, 4.104545, , 
133546.900, 336072.067, 2.77, 4.144652, , 
131292.000, 335980.600, 2.88, 4.182362, , 
129334.333, 335895.733, 2.97, 4.215602, , 
127582.000, 335961.433, 3.07, 4.246742, , 
126086.167, 335911.500, 3.17, 4.272948, , 
124771.833, 335978.100, 3.27, 4.296976, , 
123588.267, 335952.100, 3.37, 4.318251, , 
122914.467, 335918.300, 3.47, 4.330328, , 
123290.400, 335923.767, 3.57, 4.323492, , 
123593.267, 335753.133, 3.67, 4.316827, , 
124369.467, 335870.400, 3.77, 4.303524, , 
126024.567, 335841.267, 3.87, 4.273577, , 
