 Position(mm),Ancestor_01_T1,Ancestor_02_T1,Ancestor_03_T1,Ancestor_01_T2,Ancestor_02_T2,Ancestor_03_T2,Evolved_01_T1,Evolved_02_T1,Evolved_03_T1,Evolved_01_T2,Evolved_02_T2,Evolved_03_T2,,,,
18.98,0.605839,0.710866,0.719234,0.416566,0.841131,0.764791,0.63458,0.590818,0.643189,0.507639,0.450451,0.466799,,,,
19.07,0.58902,0.685513,0.702766,0.413015,0.796397,0.729762,0.618055,0.584377,0.635487,0.502096,0.442358,0.45192,,,,
19.17,0.576909,0.662736,0.687136,0.408507,0.75568,0.70249,0.605663,0.577748,0.625971,0.499513,0.435774,0.444893,,,,
19.27,0.564924,0.64356,0.672163,0.40395,0.719657,0.676151,0.593093,0.572756,0.61855,0.497218,0.429191,0.431882,,,,
19.36,0.554463,0.627008,0.660441,0.400313,0.685718,0.648472,0.583629,0.567984,0.611114,0.497613,0.426395,0.421631,,,,
19.46,0.549116,0.611519,0.650527,0.396427,0.657407,0.624777,0.573883,0.564427,0.606012,0.499565,0.422101,0.407716,,,,
19.55,0.544402,0.599222,0.641346,0.39381,0.634964,0.604374,0.566663,0.560756,0.601102,0.502421,0.419646,0.397052,,,,
19.65,0.54004,0.58818,0.631437,0.391462,0.615585,0.591544,0.559531,0.556641,0.594227,0.506745,0.41828,0.387685,,,,
19.75,0.540184,0.579123,0.62657,0.389514,0.591252,0.579294,0.553554,0.552834,0.59055,0.510985,0.418116,0.38558,,,,
19.85,0.540815,0.571091,0.61936,0.388291,0.572638,0.562944,0.546294,0.550286,0.586288,0.518421,0.420636,0.381022,,,,
19.94,0.541365,0.566665,0.614858,0.389506,0.558261,0.550381,0.540161,0.547059,0.581656,0.525621,0.422012,0.377758,,,,
20.04,0.544593,0.562043,0.611769,0.389912,0.543557,0.538529,0.534667,0.544992,0.578662,0.535754,0.424781,0.377063,,,,
20.14,0.547819,0.557892,0.60891,0.391421,0.527999,0.527695,0.528714,0.542137,0.574519,0.547183,0.432492,0.371809,,,,
20.23,0.55287,0.555955,0.606584,0.393476,0.513362,0.518718,0.525087,0.540646,0.571741,0.561767,0.436783,0.36804,,,,
20.33,0.558499,0.556348,0.605007,0.396949,0.503836,0.509688,0.52236,0.538597,0.569055,0.576204,0.444059,0.364639,,,,
20.42,0.562052,0.556604,0.602738,0.402082,0.495081,0.50115,0.517317,0.538857,0.566953,0.595863,0.452687,0.36244,,,,
20.52,0.566213,0.557597,0.602305,0.40674,0.483189,0.491193,0.512072,0.536181,0.565735,0.618148,0.462142,0.360666,,,,
20.62,0.570796,0.557106,0.598521,0.412613,0.474592,0.483159,0.508416,0.53464,0.564403,0.646236,0.472237,0.36029,,,,
20.71,0.574683,0.559318,0.593682,0.420079,0.468081,0.475576,0.505413,0.534158,0.563806,0.67969,0.484188,0.362138,,,,
20.81,0.578602,0.563317,0.590425,0.42808,0.461398,0.46652,0.503301,0.535493,0.561784,0.723612,0.497659,0.36434,,,,
20.9,0.582111,0.565702,0.587237,0.437634,0.455141,0.462021,0.502182,0.534855,0.561032,0.774487,0.511371,0.370194,,,,
21,0.58709,0.567773,0.584703,0.447142,0.448746,0.455627,0.503459,0.536037,0.562753,0.830871,0.527458,0.374461,,,,
21.1,0.590234,0.56873,0.583524,0.459233,0.444572,0.451706,0.503547,0.538118,0.562329,0.896398,0.547239,0.379591,,,,
21.2,0.595103,0.570156,0.583096,0.471904,0.437945,0.448845,0.501647,0.541727,0.564441,0.969101,0.569265,0.385789,,,,
21.29,0.59915,0.572344,0.582671,0.487652,0.434956,0.444279,0.502412,0.545844,0.567417,1.05038,0.595583,0.396202,,,,
21.39,0.604556,0.575486,0.584106,0.505565,0.430804,0.443822,0.504299,0.550615,0.57139,1.13324,0.627886,0.406359,,,,
21.49,0.611097,0.576743,0.585912,0.527036,0.428441,0.441555,0.507789,0.556409,0.576524,1.217316,0.665023,0.420041,,,,
21.58,0.619369,0.577962,0.587269,0.551588,0.427762,0.444218,0.508362,0.563715,0.582438,1.298508,0.708873,0.436921,,,,
21.68,0.629644,0.580704,0.590383,0.578828,0.425842,0.445639,0.512056,0.570933,0.589746,1.375626,0.757924,0.457131,,,,
21.78,0.640512,0.58385,0.59415,0.611203,0.424964,0.449609,0.516797,0.580291,0.598585,1.445175,0.813903,0.481352,,,,
21.87,0.653766,0.587131,0.597796,0.646338,0.427635,0.45283,0.522274,0.589931,0.607581,1.505153,0.873546,0.510635,,,,
21.97,0.667985,0.591764,0.603029,0.68277,0.427024,0.457575,0.528525,0.600439,0.618284,1.554993,0.938213,0.545113,,,,
22.06,0.683892,0.597547,0.608679,0.725086,0.429578,0.464291,0.534462,0.611685,0.630876,1.59343,1.00427,0.586493,,,,
22.16,0.701668,0.604604,0.615613,0.761332,0.433333,0.46958,0.54239,0.625228,0.645262,1.619702,1.072344,0.630511,,,,
22.25,0.720175,0.612561,0.624345,0.803443,0.437784,0.478229,0.550262,0.640099,0.662183,1.632596,1.134817,0.682118,,,,
22.35,0.73844,0.622193,0.634172,0.839776,0.440459,0.484994,0.559934,0.656988,0.6811,1.635595,1.197215,0.73948,,,,
22.45,0.757438,0.632723,0.646753,0.870782,0.44862,0.492426,0.571632,0.676637,0.705269,1.631479,1.248643,0.800048,,,,
22.55,0.777294,0.645937,0.66292,0.902627,0.45295,0.501353,0.585542,0.698694,0.730178,1.621309,1.293313,0.863841,,,,
22.64,0.798091,0.658827,0.681741,0.928422,0.458227,0.507599,0.600971,0.724104,0.76047,1.599759,1.334116,0.930168,,,,
22.74,0.818202,0.673242,0.705113,0.943732,0.465151,0.516786,0.619678,0.751368,0.792584,1.572743,1.364842,0.995457,,,,
22.84,0.83878,0.688117,0.734057,0.957343,0.47189,0.526017,0.640866,0.781869,0.830014,1.542275,1.38618,1.058821,,,,
22.93,0.859704,0.704396,0.768693,0.966012,0.480876,0.534372,0.665807,0.813252,0.867492,1.506039,1.393609,1.119769,,,,
23.03,0.880315,0.7215,0.807549,0.96779,0.492943,0.544546,0.693779,0.846428,0.908065,1.46689,1.396962,1.174943,,,,
23.13,0.901504,0.739585,0.852613,0.963957,0.50363,0.556792,0.723098,0.878225,0.950045,1.430994,1.39124,1.22496,,,,
23.22,0.921968,0.757542,0.903107,0.957245,0.517438,0.570744,0.754506,0.910556,0.992591,1.39291,1.379723,1.267375,,,,
23.32,0.943565,0.776821,0.955546,0.946074,0.537141,0.588492,0.786898,0.940409,1.032641,1.350808,1.36052,1.301564,,,,
23.41,0.964676,0.796126,1.013423,0.93292,0.561709,0.608398,0.819314,0.968096,1.073415,1.311832,1.338877,1.327603,,,,
23.51,0.986087,0.816441,1.072912,0.917389,0.592674,0.638513,0.850881,0.992749,1.109777,1.271902,1.31904,1.345567,,,,
23.6,1.007247,0.8373,1.132455,0.899108,0.631707,0.67366,0.880946,1.014267,1.143518,1.236235,1.299054,1.357426,,,,
23.7,1.027844,0.858929,1.189561,0.878191,0.676967,0.715632,0.910314,1.033055,1.173436,1.19903,1.268893,1.36001,,,,
23.8,1.04722,0.881236,1.24586,0.857256,0.735403,0.765163,0.935775,1.046988,1.198812,1.160523,1.233092,1.3555,,,,
23.9,1.065142,0.904307,1.297892,0.837046,0.796378,0.816702,0.95887,1.057306,1.220863,1.124587,1.194569,1.343622,,,,
23.99,1.081459,0.928317,1.343241,0.816705,0.864714,0.873462,0.978403,1.063077,1.238062,1.087077,1.157315,1.328835,,,,
24.09,1.094048,0.952141,1.382001,0.793277,0.936788,0.930627,0.994404,1.066372,1.247966,1.054008,1.117961,1.306131,,,,
24.19,1.102986,0.975617,1.412465,0.771901,1.00547,0.986163,1.007013,1.065281,1.25467,1.020244,1.084915,1.279421,,,,
24.28,1.107973,0.999275,1.434761,0.750438,1.072006,1.038751,1.015993,1.060352,1.254158,0.988886,1.048447,1.251023,,,,
24.38,1.109885,1.021038,1.449304,0.729421,1.130008,1.084072,1.021626,1.051728,1.250091,0.954001,1.016277,1.22031,,,,
24.48,1.107134,1.040664,1.455271,0.70941,1.181404,1.125324,1.023385,1.039749,1.241285,0.923511,0.982147,1.185434,,,,
24.57,1.099997,1.057933,1.45354,0.688728,1.222605,1.156604,1.020582,1.025144,1.226938,0.893843,0.949107,1.150367,,,,
24.67,1.088689,1.071273,1.443759,0.668986,1.253252,1.179053,1.015428,1.008718,1.20981,0.867755,0.91779,1.114918,,,,
24.76,1.073476,1.081045,1.426454,0.651721,1.273053,1.192394,1.00711,0.990287,1.189465,0.839405,0.887435,1.081994,,,,
24.86,1.055421,1.086997,1.403863,0.634828,1.28192,1.198616,0.996366,0.969496,1.166235,0.814554,0.858459,1.045713,,,,
24.96,1.034916,1.088064,1.376345,0.620574,1.283336,1.194976,0.982847,0.948692,1.141695,0.791389,0.829253,1.010298,,,,
25.05,1.012248,1.085502,1.347378,0.606883,1.27578,1.18578,0.966889,0.92559,1.115994,0.768208,0.801078,0.976797,,,,
25.15,0.986873,1.078646,1.312687,0.593491,1.263793,1.172304,0.949185,0.904759,1.088762,0.746472,0.775778,0.943965,,,,
25.25,0.963185,1.068345,1.28022,0.580261,1.249513,1.154869,0.930424,0.881497,1.059504,0.727017,0.751054,0.910125,,,,
25.34,0.935003,1.055052,1.244285,0.570035,1.225157,1.132189,0.911576,0.861375,1.032187,0.711752,0.727805,0.882076,,,,
25.44,0.911868,1.039509,1.208955,0.56033,1.200023,1.107274,0.890482,0.839281,1.002087,0.695297,0.706238,0.848573,,,,
25.54,0.889718,1.022143,1.171122,0.550348,1.173027,1.081959,0.872263,0.817841,0.97618,0.679909,0.685326,0.820678,,,,
25.63,0.864851,1.00398,1.137693,0.542048,1.146848,1.054127,0.853468,0.797623,0.947107,0.667122,0.665981,0.792526,,,,
25.73,0.843335,0.982647,1.102976,0.536341,1.116777,1.027109,0.830979,0.778987,0.92121,0.653397,0.646578,0.766256,,,,
25.83,0.822002,0.96239,1.071512,0.529719,1.087477,0.999765,0.811804,0.760978,0.895198,0.643664,0.631454,0.741732,,,,
25.92,0.803895,0.94216,1.039247,0.524027,1.056753,0.96991,0.791409,0.744556,0.87205,0.637749,0.614575,0.71511,,,,
26.02,0.786534,0.920441,1.012405,0.519966,1.028541,0.941988,0.774679,0.729519,0.850679,0.634119,0.598917,0.691487,,,,
26.11,0.769676,0.899277,0.985185,0.514783,1.001483,0.913876,0.755539,0.715739,0.830067,0.630566,0.585187,0.670351,,,,
26.21,0.755895,0.88136,0.958735,0.512751,0.969382,0.885769,0.739532,0.70536,0.811456,0.628032,0.577355,0.650616,,,,
26.31,0.743148,0.863441,0.938343,0.509132,0.939652,0.859532,0.722964,0.694103,0.796234,0.624445,0.568129,0.623769,,,,
26.4,0.73038,0.84678,0.914472,0.508194,0.914378,0.834814,0.707737,0.686276,0.778116,0.62218,0.559368,0.606417,,,,
26.5,0.721816,0.829053,0.892927,0.506427,0.890017,0.809276,0.693183,0.679168,0.762889,0.621449,0.551938,0.589829,,,,
26.6,0.714015,0.815838,0.874877,0.505808,0.863547,0.785766,0.680927,0.672592,0.747803,0.62272,0.547375,0.576842,,,,
26.69,0.706814,0.800866,0.856715,0.505173,0.837425,0.764009,0.667314,0.668204,0.736258,0.623044,0.542874,0.565409,,,,
26.79,0.700862,0.78956,0.842779,0.505846,0.817701,0.742989,0.65893,0.66226,0.726342,0.627898,0.540819,0.557697,,,,
26.89,0.697329,0.77773,0.827182,0.507539,0.795925,0.723484,0.647997,0.66004,0.717465,0.635312,0.539994,0.550443,,,,
26.98,0.694242,0.770261,0.815821,0.510143,0.773698,0.703827,0.640156,0.657029,0.71076,0.646098,0.540337,0.544704,,,,
27.08,0.693406,0.761224,0.803,0.51415,0.754473,0.685311,0.633587,0.655107,0.704057,0.662364,0.541375,0.541518,,,,
27.18,0.693172,0.755034,0.795138,0.520109,0.735845,0.668906,0.626953,0.656707,0.70019,0.68621,0.543383,0.538411,,,,
27.27,0.695177,0.748994,0.785493,0.528821,0.717193,0.652741,0.6246,0.657467,0.695386,0.719737,0.549621,0.534965,,,,
27.37,0.698922,0.745119,0.780222,0.540135,0.701324,0.637784,0.619147,0.660627,0.691875,0.769323,0.554109,0.533486,,,,
27.47,0.702867,0.741849,0.776882,0.556043,0.685081,0.624494,0.616359,0.664701,0.690191,0.840808,0.562108,0.531405,,,,
27.56,0.706488,0.739074,0.773401,0.578236,0.67188,0.609846,0.613332,0.669041,0.689663,0.943808,0.57413,0.531744,,,,
27.66,0.711401,0.739608,0.770582,0.608936,0.659922,0.59811,0.613171,0.675623,0.691239,1.087128,0.589297,0.533401,,,,
27.75,0.717361,0.73953,0.77039,0.654326,0.647728,0.586825,0.61395,0.682282,0.690633,1.273602,0.613253,0.535029,,,,
27.85,0.725492,0.741361,0.770966,0.715318,0.636936,0.576972,0.614038,0.690002,0.693217,1.508293,0.642787,0.537262,,,,
27.95,0.733534,0.744162,0.773619,0.805464,0.62798,0.566411,0.616684,0.698852,0.697871,1.804205,0.690489,0.541178,,,,
28.04,0.742779,0.748854,0.776558,0.926834,0.618824,0.556153,0.621081,0.708773,0.703149,2.144712,0.762203,0.548969,,,,
28.14,0.753127,0.753611,0.781609,1.093477,0.611433,0.549105,0.625365,0.71858,0.708939,2.523097,0.857111,0.557003,,,,
28.24,0.764761,0.760207,0.786739,1.310848,0.606149,0.544169,0.630575,0.730364,0.716066,2.928387,0.989645,0.573462,,,,
28.33,0.776877,0.767928,0.793107,1.59413,0.59975,0.538962,0.637481,0.741785,0.723812,3.323864,1.167873,0.593192,,,,
28.43,0.790913,0.776544,0.80165,1.931145,0.596119,0.533454,0.645643,0.755209,0.733646,3.713155,1.391288,0.624611,,,,
28.53,0.805368,0.78583,0.810959,2.320085,0.590639,0.530846,0.653532,0.769399,0.74303,4.089483,1.664767,0.664363,,,,
28.62,0.82184,0.796181,0.819677,2.720707,0.586274,0.527367,0.662698,0.784347,0.753888,4.402182,2.003012,0.727376,,,,
28.72,0.8395,0.808188,0.830196,3.155794,0.584523,0.524643,0.673655,0.800208,0.765061,4.674748,2.38108,0.826526,,,,
28.82,0.858293,0.820727,0.84148,3.592677,0.581383,0.5226,0.684051,0.817593,0.776926,4.906229,2.788662,0.931278,,,,
28.91,0.87768,0.834256,0.85345,3.987858,0.581186,0.523624,0.696171,0.835287,0.789757,5.079998,3.208363,1.072586,,,,
29.01,0.898693,0.848868,0.866981,4.36892,0.58249,0.523233,0.708116,0.853675,0.803502,5.206429,3.614824,1.265578,,,,
29.1,0.921805,0.86424,0.880399,4.673342,0.58569,0.52545,0.721688,0.87385,0.817392,5.29772,3.99962,1.488439,,,,
29.2,0.945732,0.881634,0.894404,4.938301,0.590472,0.529418,0.735521,0.894993,0.833203,5.350757,4.3475,1.752836,,,,
29.3,0.971318,0.900091,0.910593,5.147125,0.598432,0.534999,0.751201,0.917728,0.848923,5.378107,4.653739,2.049714,,,,
29.39,0.997428,0.919276,0.927601,5.330218,0.608607,0.542626,0.765303,0.943207,0.866198,5.377787,4.907708,2.367999,,,,
29.49,1.026881,0.939705,0.946234,5.449299,0.624685,0.55182,0.781687,0.969448,0.884682,5.354515,5.127568,2.68974,,,,
29.59,1.058663,0.962534,0.966184,5.520523,0.645664,0.564965,0.799437,0.999041,0.904595,5.310966,5.29446,3.00577,,,,
29.68,1.092895,0.985997,0.986953,5.573775,0.674784,0.58185,0.818189,1.03278,0.927216,5.243259,5.400854,3.311774,,,,
29.78,1.129103,1.011337,1.010249,5.599135,0.721234,0.604542,0.837828,1.070951,0.953159,5.17828,5.476677,3.612273,,,,
29.88,1.171276,1.037915,1.035616,5.600183,0.787963,0.635886,0.859327,1.114571,0.982085,5.095394,5.527678,3.866183,,,,
29.97,1.218054,1.066696,1.064588,5.576059,0.888767,0.68475,0.882462,1.165003,1.01567,4.992395,5.54108,4.071427,,,,
30.07,1.271042,1.099427,1.097767,5.529568,1.033803,0.748423,0.908959,1.224463,1.053544,4.89751,5.531274,4.251207,,,,
30.17,1.333867,1.133346,1.135553,5.465908,1.237382,0.845999,0.938594,1.294543,1.097686,4.7832,5.50083,4.38677,,,,
30.26,1.404821,1.170539,1.177714,5.396643,1.498531,0.987071,0.971988,1.37598,1.149033,4.658778,5.455411,4.47741,,,,
30.36,1.488139,1.212908,1.227931,5.316619,1.846672,1.179481,1.011819,1.467315,1.209956,4.534414,5.387239,4.547164,,,,
30.46,1.58098,1.257972,1.285528,5.215744,2.254628,1.436487,1.056937,1.575287,1.278103,4.408461,5.308129,4.58619,,,,
30.55,1.688866,1.309547,1.351294,5.10586,2.725615,1.766861,1.108796,1.693933,1.355614,4.280563,5.220539,4.600592,,,,
30.65,1.812019,1.366312,1.427118,4.991534,3.223205,2.156356,1.169034,1.822485,1.444692,4.144254,5.112995,4.59429,,,,
30.74,1.947904,1.433845,1.516162,4.876235,3.746616,2.618124,1.238574,1.962299,1.543202,4.004,5.010611,4.57232,,,,
30.84,2.096763,1.507568,1.608956,4.749907,4.214131,3.120165,1.314858,2.11447,1.644781,3.87836,4.9023,4.520953,,,,
30.94,2.267329,1.58847,1.712759,4.633809,4.689928,3.656799,1.403571,2.262407,1.754213,3.750069,4.77887,4.464172,,,,
31.03,2.457954,1.683184,1.827738,4.528546,5.092211,4.198624,1.498144,2.416385,1.873562,3.627069,4.651315,4.389285,,,,
31.13,2.657777,1.788321,1.947658,4.272874,5.448831,4.696699,1.597863,2.571701,1.993696,3.508918,4.518299,4.304784,,,,
31.23,2.856985,1.901808,2.069714,4.057099,5.755882,5.117988,1.700512,2.723797,2.114816,3.403256,4.38544,4.212714,,,,
31.32,3.065238,2.033377,2.196147,3.925424,5.975255,5.520926,1.815924,2.867824,2.23226,3.313131,4.259643,4.105126,,,,
31.42,3.261701,2.17496,2.323298,3.809822,6.181383,5.854621,1.925199,3.004405,2.350085,3.222569,4.125559,3.996692,,,,
31.52,3.457492,2.32325,2.447607,3.707131,6.330849,6.133844,2.036956,3.135794,2.460594,3.135418,3.99223,3.880333,,,,
31.61,3.648042,2.484273,2.568938,3.625353,6.411198,6.350925,2.148241,3.253128,2.561847,3.060564,3.864511,3.761853,,,,
31.71,3.824518,2.656901,2.692116,3.542221,6.483653,6.505338,2.254857,3.359315,2.653827,2.986156,3.742439,3.643732,,,,
31.81,3.980277,2.831886,2.806426,3.457649,6.504569,6.619065,2.361192,3.456688,2.734174,2.915158,3.630466,3.519068,,,,
31.9,4.130488,3.000882,2.909876,3.368819,6.49741,6.702576,2.464173,3.539234,2.797302,2.847528,3.528175,3.401893,,,,
32,4.263321,3.195122,3.013673,3.278628,6.473017,6.741488,2.562785,3.609663,2.85019,2.780595,3.428717,3.294361,,,,
32.09,4.38417,3.371741,3.107941,3.201058,6.438758,6.751721,2.657812,3.668636,2.887946,2.714095,3.331681,3.18286,,,,
32.19,4.477724,3.544543,3.194685,3.118776,6.385467,6.739336,2.740398,3.71421,2.911206,2.651102,3.247422,3.080302,,,,
32.29,4.565553,3.709446,3.267502,3.036518,6.325268,6.709212,2.825086,3.752254,2.91604,2.58715,3.160967,2.988851,,,,
32.38,4.626064,3.87071,3.337441,2.96754,6.248687,6.643043,2.899534,3.769949,2.914717,2.52718,3.082804,2.90542,,,,
32.48,4.679271,4.011999,3.398243,2.893376,6.147096,6.581212,2.966462,3.780411,2.893021,2.464975,3.004832,2.829566,,,,
32.58,4.711004,4.147695,3.450742,2.817142,6.05104,6.499237,3.024827,3.778936,2.861816,2.40403,2.938797,2.753959,,,,
32.67,4.729519,4.275278,3.498817,2.739748,5.961509,6.410182,3.080042,3.768051,2.816826,2.341236,2.869905,2.691691,,,,
32.77,4.736204,4.380195,3.538327,2.671442,5.848445,6.307842,3.123178,3.746434,2.760925,2.278749,2.804873,2.620918,,,,
32.87,4.726098,4.472114,3.571667,2.602237,5.735258,6.192233,3.168523,3.715909,2.695414,2.219756,2.739594,2.554769,,,,
32.96,4.705815,4.545512,3.599501,2.531278,5.621069,6.072112,3.19954,3.678322,2.627334,2.159196,2.669227,2.489589,,,,
33.06,4.670521,4.60629,3.623904,2.467674,5.497532,5.944416,3.223202,3.631893,2.547524,2.108345,2.609777,2.42789,,,,
33.16,4.629841,4.649137,3.642232,2.402391,5.36656,5.810142,3.244183,3.576994,2.465614,2.051896,2.54144,2.360106,,,,
33.25,4.580493,4.676132,3.655804,2.337838,5.228082,5.68089,3.260547,3.514031,2.380261,1.998048,2.475958,2.302965,,,,
33.35,4.522412,4.693112,3.665232,2.277481,5.080224,5.546217,3.270081,3.442013,2.300963,1.94328,2.41072,2.243666,,,,
33.44,4.447209,4.695292,3.674995,2.218209,4.945603,5.415997,3.272649,3.364622,2.215153,1.891942,2.347741,2.187246,,,,
33.54,4.371671,4.683393,3.677931,2.156302,4.802957,5.27543,3.27021,3.275961,2.135049,1.839042,2.282301,2.125851,,,,
33.64,4.285251,4.67041,3.674637,2.094724,4.674988,5.129787,3.269029,3.18329,2.059787,1.792237,2.220126,2.067458,,,,
33.73,4.197821,4.647044,3.669372,2.03453,4.54097,4.992029,3.261482,3.086956,1.99222,1.746573,2.160797,2.009738,,,,
33.83,4.099951,4.611433,3.664217,1.982575,4.412435,4.852101,3.246894,2.987109,1.922581,1.70291,2.109739,1.955417,,,,
33.93,3.997895,4.566366,3.651842,1.926938,4.304049,4.701862,3.228185,2.880726,1.862117,1.655407,2.049947,1.903991,,,,
34.02,3.887415,4.512356,3.635755,1.870165,4.191605,4.569327,3.205836,2.776272,1.802545,1.607025,1.999023,1.85057,,,,
34.12,3.780328,4.454634,3.616896,1.818311,4.078494,4.449621,3.182337,2.672877,1.749101,1.56363,1.946275,1.799676,,,,
34.22,3.666808,4.387521,3.594495,1.771619,3.991721,4.330382,3.15173,2.572916,1.694367,1.520395,1.892832,1.748505,,,,
34.31,3.547482,4.315775,3.56807,1.72539,3.915033,4.223574,3.115562,2.477072,1.646552,1.47768,1.847985,1.698032,,,,
34.41,3.426631,4.232969,3.539453,1.681103,3.814982,4.130268,3.074485,2.390308,1.603859,1.435029,1.79533,1.645479,,,,
34.51,3.312381,4.149358,3.502018,1.632243,3.719494,4.045292,3.026182,2.307773,1.556792,1.40021,1.749924,1.600089,,,,
34.6,3.196739,4.056269,3.463462,1.592981,3.640499,3.971015,2.971066,2.233993,1.512211,1.362363,1.698035,1.551907,,,,
34.7,3.085388,3.961731,3.416665,1.548336,3.567924,3.896998,2.907389,2.163653,1.470636,1.319971,1.649711,1.503571,,,,
34.79,2.985245,3.860407,3.364207,1.510274,3.491884,3.820813,2.835587,2.093979,1.43012,1.285493,1.603035,1.453749,,,,
34.89,2.88964,3.758261,3.299214,1.465019,3.419957,3.743942,2.755535,2.032307,1.391604,1.249715,1.562133,1.406123,,,,
34.99,2.800876,3.647871,3.228933,1.423986,3.349604,3.679207,2.664703,1.968372,1.353214,1.215025,1.512812,1.362316,,,,
35.08,2.713489,3.543164,3.147008,1.383391,3.271184,3.613256,2.569311,1.912268,1.318135,1.182405,1.473854,1.316008,,,,
35.18,2.640013,3.433532,3.053992,1.347518,3.191507,3.527409,2.467073,1.85682,1.280291,1.154161,1.435688,1.268888,,,,
35.28,2.562121,3.332174,2.952578,1.312699,3.128618,3.448773,2.369947,1.805835,1.248935,1.124582,1.393426,1.232996,,,,
35.37,2.487227,3.227488,2.841618,1.270501,3.05917,3.367819,2.271098,1.757484,1.215848,1.094199,1.351346,1.19287,,,,
35.47,2.418833,3.12585,2.723198,1.235924,2.998746,3.283747,2.178813,1.712486,1.186602,1.067422,1.317523,1.153708,,,,
35.57,2.356712,3.030973,2.611218,1.200295,2.940281,3.20694,2.09707,1.662823,1.155765,1.038534,1.279898,1.122943,,,,
35.66,2.295488,2.93716,2.4965,1.170146,2.891792,3.129972,2.018091,1.619146,1.128919,1.015263,1.243158,1.081696,,,,
35.76,2.238889,2.85385,2.394861,1.138441,2.831938,3.060324,1.950126,1.575751,1.097874,0.985349,1.207742,1.055387,,,,
35.86,2.183335,2.774005,2.295822,1.108008,2.766681,2.986256,1.887752,1.539434,1.070363,0.962009,1.174943,1.026791,,,,
35.95,2.1232,2.699523,2.209703,1.080214,2.702767,2.917877,1.830451,1.495444,1.042369,0.937318,1.137094,0.989526,,,,
36.05,2.066354,2.626315,2.129202,1.052899,2.640178,2.84833,1.764708,1.453472,1.018696,0.913621,1.10219,0.964954,,,,
36.15,2.01582,2.554941,2.052552,1.02542,2.573712,2.786508,1.706963,1.412835,0.993231,0.889571,1.071604,0.936937,,,,
36.24,1.970262,2.492677,1.977995,0.998458,2.504818,2.729272,1.657411,1.372817,0.967,0.867735,1.043813,0.90829,,,,
36.34,1.925483,2.432967,1.916144,0.969433,2.446176,2.670395,1.610075,1.331338,0.944386,0.845611,1.016114,0.884214,,,,
36.43,1.874918,2.372576,1.857998,0.947304,2.383982,2.59966,1.563239,1.29277,0.925207,0.824208,0.985232,0.854149,,,,
36.53,1.824033,2.308662,1.796638,0.923425,2.324905,2.533119,1.520681,1.256666,0.898279,0.804814,0.956443,0.833915,,,,
36.63,1.779458,2.253517,1.743554,0.899258,2.262084,2.470051,1.471565,1.220908,0.873626,0.785724,0.933463,0.813409,,,,
36.72,1.74147,2.200395,1.698357,0.879718,2.208588,2.405087,1.427997,1.187625,0.85496,0.766581,0.907329,0.788434,,,,
36.82,1.689938,2.145271,1.652571,0.857293,2.152103,2.340275,1.377696,1.158758,0.839203,0.749176,0.885154,0.764186,,,,
36.92,1.648765,2.093187,1.606511,0.835555,2.089151,2.287911,1.337238,1.128108,0.820473,0.730927,0.860411,0.743316,,,,
37.01,1.610456,2.047711,1.558646,0.815127,2.031957,2.22974,1.300672,1.098444,0.803197,0.71458,0.839955,0.723012,,,,
37.11,1.571125,2.000056,1.519034,0.794343,1.987091,2.170404,1.264893,1.069123,0.78756,0.703125,0.819478,0.705187,,,,
37.21,1.52545,1.951857,1.477147,0.777557,1.942064,2.120286,1.227954,1.045639,0.774086,0.688415,0.79849,0.68144,,,,
37.3,1.490051,1.903934,1.435877,0.761823,1.88225,2.064559,1.193885,1.023298,0.759017,0.678275,0.780959,0.667798,,,,
37.4,1.462515,1.86192,1.397636,0.749583,1.834169,2.01372,1.163291,0.998266,0.747538,0.665204,0.763885,0.653573,,,,
37.5,1.418886,1.817385,1.363301,0.735895,1.788667,1.965866,1.134699,0.978018,0.735155,0.656815,0.747364,0.630894,,,,
37.59,1.383781,1.7728,1.325,0.723251,1.750759,1.913565,1.104125,0.955553,0.721711,0.649161,0.727895,0.620048,,,,
37.69,1.348144,1.733877,1.289759,0.710703,1.707903,1.8619,1.081673,0.932781,0.707649,0.638268,0.712612,0.598198,,,,
37.78,1.317435,1.69344,1.256597,0.699695,1.646408,1.81842,1.058416,0.912928,0.697675,0.633802,0.695725,0.587004,,,,
37.88,1.284661,1.653536,1.227647,0.691513,1.60986,1.774271,1.030931,0.894644,0.68869,0.63046,0.683043,0.573261,,,,
37.98,1.250833,1.614906,1.195007,0.682502,1.577243,1.727252,1.009309,0.876039,0.677824,0.62614,0.668392,0.562655,,,,
38.07,1.22479,1.57959,1.168653,0.674721,1.532533,1.676738,0.986698,0.85454,0.668066,0.621662,0.659507,0.549123,,,,
38.17,1.197728,1.540866,1.141285,0.667163,1.499439,1.63932,0.964116,0.839192,0.659599,0.618761,0.648832,0.537878,,,,
38.27,1.169923,1.504002,1.114971,0.661291,1.467791,1.591675,0.939773,0.824883,0.65111,0.619221,0.639069,0.525582,,,,
38.36,1.146472,1.469992,1.084462,0.65385,1.423962,1.558288,0.919147,0.811887,0.64216,0.623099,0.629643,0.51166,,,,
38.46,1.117636,1.439529,1.057426,0.650416,1.386747,1.51252,0.900175,0.796266,0.633681,0.624432,0.625262,0.506344,,,,
