 Position(mm),Ancestor_01_T1,Ancestor_02_T1,Ancestor_03_T1,Ancestor_01_T2,Ancestor_02_T2,Ancestor_03_T2,Evolved_01_T1,Evolved_02_T1,Evolved_03_T1,Evolved_01_T2,Evolved_02_T2,Evolved_03_T2,,,,
4.22,3.570062,3.513206,3.957397,3.435448,3.542545,3.69461,4.03023,3.898349,3.947034,3.445865,3.691613,4.178938,,,,
4.32,3.534649,3.512078,3.860187,3.367394,3.6206,3.77949,3.964033,3.78674,3.851375,3.321985,3.615012,4.155101,,,,
4.42,3.486058,3.500321,3.731322,3.290759,3.716155,3.861534,3.872138,3.663578,3.728831,3.193932,3.527859,4.117383,,,,
4.51,3.423259,3.477832,3.613103,3.232561,3.820076,3.951934,3.783339,3.534396,3.616252,3.071571,3.434713,4.066555,,,,
4.61,3.350876,3.44034,3.506348,3.142069,3.910332,4.039658,3.681233,3.39922,3.482545,2.935977,3.328658,4.007354,,,,
4.7,3.271756,3.388442,3.361517,3.054291,4.006839,4.115938,3.573415,3.258115,3.367857,2.801592,3.219852,3.939555,,,,
4.8,3.173666,3.325085,3.246112,2.945479,4.108121,4.195142,3.476419,3.127564,3.224826,2.653651,3.107383,3.859001,,,,
4.89,3.070374,3.264758,3.10378,2.845964,4.207211,4.239915,3.37934,2.988801,3.093591,2.51812,2.979586,3.765529,,,,
4.99,2.965523,3.18371,2.964178,2.741246,4.298034,4.270194,3.245885,2.843085,2.957925,2.380012,2.853503,3.670663,,,,
5.09,2.851136,3.099184,2.818126,2.618775,4.388656,4.296319,3.134898,2.710085,2.816935,2.260243,2.722216,3.562784,,,,
5.18,2.723122,2.995821,2.683846,2.511433,4.473971,4.315851,3.016057,2.578431,2.683876,2.131704,2.590425,3.44926,,,,
5.28,2.607267,2.901703,2.567906,2.394065,4.551281,4.32073,2.881005,2.442405,2.552384,1.999898,2.455074,3.334315,,,,
5.38,2.473976,2.792989,2.432029,2.277107,4.62157,4.315442,2.749197,2.30416,2.421426,1.88921,2.326317,3.210441,,,,
5.47,2.348501,2.676117,2.312089,2.164095,4.674508,4.294276,2.642128,2.180643,2.293542,1.779762,2.201117,3.096743,,,,
5.57,2.216941,2.555072,2.196406,2.052934,4.71629,4.2537,2.508397,2.070245,2.173995,1.675863,2.084117,2.971613,,,,
5.67,2.09807,2.437619,2.080524,1.948133,4.744176,4.202398,2.385469,1.95082,2.062064,1.579357,1.973237,2.842003,,,,
5.77,1.980646,2.318961,1.972368,1.852163,4.758725,4.136863,2.263042,1.846151,1.95264,1.489614,1.858055,2.708277,,,,
5.86,1.862342,2.197667,1.867196,1.755226,4.761581,4.055562,2.150378,1.742056,1.847657,1.404693,1.749136,2.579713,,,,
5.96,1.749614,2.081307,1.776062,1.659895,4.750876,3.964641,2.033286,1.652382,1.758556,1.332672,1.644062,2.471093,,,,
