	left	right	distance	observations	clusterId
0	6	0	0.0	2	12
1	9	12	0.0	3	13
2	10	8	0.0030374588314396713	2	14
3	14	4	0.12349291083176349	3	15
4	1	11	0.19841143790945243	2	16
5	13	15	0.46241101883393815	6	17
6	2	3	0.6094459194266079	2	18
7	16	18	0.9498039459082415	4	19
8	7	5	1.1168875979797794	2	20
9	20	19	3.0483455128095005	6	21
10	17	21	6.7364939616252	12	22
