FlowCell Text Data File: 38.1.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:16:15
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
728897.433, 339845.700, -0.50, 0.350611, , 
728955.067, 339866.400, -0.40, 0.350571, , 
728604.333, 339924.633, -0.30, 0.352039, , 
728340.733, 339818.867, -0.20, 0.352153, , 
441584.767, 339771.200, -0.10, 1.477953, , 
728340.733, 339818.867, 0.00, 0.352153, , 
441584.767, 339771.200, 0.10, 1.477953, , 
344628.367, 339848.000, 0.19, 2.036352, , 
344471.500, 339839.467, 0.29, 2.037320, , 
343800.600, 339761.767, 0.39, 2.041193, , 
342952.800, 339736.067, 0.49, 2.046579, , 
342152.467, 339759.467, 0.59, 2.051992, , 
341175.200, 339794.667, 0.69, 2.058662, , 
339572.800, 339570.233, 0.79, 2.067770, , 
338205.933, 339636.067, 0.89, 2.077283, , 
336561.600, 339706.100, 0.99, 2.088715, , 
334381.267, 339703.067, 1.09, 2.103321, , 
331386.933, 339571.667, 1.18, 2.122694, , 
329000.200, 339597.933, 1.29, 2.139134, , 
325866.767, 339616.567, 1.39, 2.160794, , 
322767.333, 339649.867, 1.49, 2.182522, , 
319007.033, 339742.533, 1.58, 2.209508, , 
314659.867, 339685.167, 1.68, 2.240006, , 
309722.367, 339732.200, 1.79, 2.275910, , 
304062.500, 339727.033, 1.88, 2.317381, , 
297654.467, 339693.900, 1.98, 2.365095, , 
291788.467, 339831.933, 2.08, 2.410803, , 
284931.667, 339630.567, 2.18, 2.462984, , 
277861.833, 339601.367, 2.28, 2.519333, , 
270704.567, 339626.433, 2.38, 2.578226, , 
263534.233, 339596.067, 2.48, 2.638438, , 
