FlowCell Text Data File: 39.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:54:41
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
682958.367, 332978.200, -0.50, 0.451171, , 
682885.000, 332948.600, -0.40, 0.451213, , 
682543.633, 332886.733, -0.30, 0.451920, , 
682369.633, 332980.567, -0.20, 0.453128, , 
368025.633, 332997.800, -0.10, 1.842706, , 
682369.633, 332980.567, 0.00, 0.453128, , 
368025.633, 332997.800, 0.10, 1.842706, , 
180548.033, 332890.233, 0.19, 3.444639, , 
180379.967, 332916.233, 0.30, 3.446911, , 
179769.967, 332931.967, 0.39, 3.454640, , 
179412.300, 332952.867, 0.49, 3.459263, , 
179097.567, 332907.833, 0.59, 3.462910, , 
178304.333, 333003.600, 0.69, 3.473547, , 
177046.500, 332951.100, 0.79, 3.489124, , 
175601.700, 333002.167, 0.89, 3.507909, , 
174006.133, 332823.133, 0.99, 3.527241, , 
172114.967, 332799.433, 1.09, 3.551673, , 
170158.700, 332922.567, 1.19, 3.578230, , 
168247.500, 333009.033, 1.29, 3.604234, , 
165924.000, 332939.533, 1.39, 3.635060, , 
162963.100, 332945.733, 1.49, 3.675623, , 
160085.833, 332858.767, 1.59, 3.715124, , 
156927.700, 332912.000, 1.68, 3.760323, , 
153615.367, 332946.467, 1.79, 3.808566, , 
149805.267, 332981.933, 1.89, 3.865326, , 
146255.533, 333034.467, 1.98, 3.919649, , 
142879.067, 332961.567, 2.08, 3.971719, , 
139304.300, 333039.000, 2.18, 4.029264, , 
135845.067, 333063.600, 2.28, 4.086019, , 
132417.467, 332932.033, 2.38, 4.142640, , 
129094.767, 332813.133, 2.48, 4.199026, , 
126162.600, 333000.533, 2.58, 4.251997, , 
123605.167, 332903.867, 2.68, 4.297431, , 
121338.433, 332930.500, 2.78, 4.339264, , 
119311.733, 332842.800, 2.88, 4.376577, , 
117558.600, 332986.100, 2.98, 4.410859, , 
116051.800, 332920.500, 3.08, 4.439446, , 
115163.133, 333014.967, 3.18, 4.457384, , 
114745.633, 332994.733, 3.28, 4.465421, , 
114441.067, 332948.167, 3.38, 4.471087, , 
114802.567, 333015.633, 3.47, 4.464445, , 
115708.333, 333048.400, 3.58, 4.446981, , 
117129.600, 332924.833, 3.68, 4.418672, , 
119144.667, 332966.267, 3.78, 4.380565, , 
121725.400, 332989.667, 3.87, 4.332498, , 
124684.933, 332858.033, 3.97, 4.277548, , 
128574.467, 332836.167, 4.07, 4.208271, , 
132744.767, 332870.200, 4.17, 4.136667, , 
138423.833, 333004.733, 4.27, 4.043301, , 
144404.267, 332844.733, 4.37, 3.947034, , 
150665.600, 332824.567, 4.47, 3.851375, , 
159089.600, 332808.367, 4.57, 3.728831, , 
167254.800, 332816.733, 4.67, 3.616252, , 
177496.367, 332822.733, 4.77, 3.482545, , 
186801.667, 332867.533, 4.87, 3.367857, , 
199031.667, 332820.833, 4.96, 3.224826, , 
211090.467, 332989.700, 5.07, 3.093591, , 
224158.067, 332916.600, 5.17, 2.957925, , 
238641.233, 332903.200, 5.26, 2.816935, , 
253125.433, 332835.933, 5.36, 2.683876, , 
268383.100, 332869.467, 5.47, 2.552384, , 
284419.000, 332816.433, 5.56, 2.421426, , 
301083.033, 332853.533, 5.66, 2.293542, , 
317590.033, 332937.867, 5.76, 2.173995, , 
333754.000, 332906.300, 5.86, 2.062064, , 
350421.333, 332942.533, 5.96, 1.952640, , 
367089.267, 332882.167, 6.06, 1.847657, , 
382140.267, 333078.567, 6.16, 1.758556, , 
398988.600, 332970.400, 6.26, 1.660730, , 
412849.700, 332976.967, 6.36, 1.583920, , 
429299.700, 332864.233, 6.46, 1.495230, , 
443965.700, 332856.567, 6.56, 1.419581, , 
456391.667, 332887.967, 6.66, 1.357672, , 
470707.200, 332901.933, 6.75, 1.288262, , 
478967.067, 332875.333, 6.86, 1.248935, , 
488075.933, 332848.167, 6.96, 1.206355, , 
500103.667, 332892.400, 7.05, 1.151868, , 
510889.133, 332947.367, 7.16, 1.104222, , 
521318.133, 332975.000, 7.25, 1.058932, , 
531193.533, 332897.733, 7.35, 1.016178, , 
540077.567, 332924.800, 7.45, 0.979035, , 
546159.167, 332935.433, 7.55, 0.953907, , 
554066.133, 332948.700, 7.65, 0.921650, , 
559903.933, 332879.100, 7.75, 0.897592, , 
565578.000, 332848.000, 7.85, 0.874691, , 
570751.233, 332854.500, 7.95, 0.854244, , 
575706.167, 332867.800, 8.05, 0.834881, , 
580892.867, 332814.133, 8.15, 0.814334, , 
585376.300, 332949.533, 8.25, 0.797947, , 
590938.233, 332956.400, 8.35, 0.776712, , 
595071.133, 333007.833, 8.45, 0.761375, , 
598089.967, 333057.700, 8.55, 0.750325, , 
602349.633, 333106.533, 8.65, 0.734683, , 
606122.233, 333029.733, 8.75, 0.720114, , 
608339.867, 332994.633, 8.84, 0.711658, , 
611205.133, 333063.733, 8.94, 0.701550, , 
615115.300, 332962.200, 9.04, 0.686513, , 
618238.367, 332915.433, 9.14, 0.674800, , 
620765.933, 332959.267, 9.24, 0.665914, , 
623942.467, 332910.233, 9.34, 0.654096, , 
626124.633, 332994.667, 9.44, 0.646810, , 
628547.967, 333004.567, 9.54, 0.638184, , 
630439.233, 332940.300, 9.64, 0.630988, , 
632549.267, 332915.733, 9.74, 0.623303, , 
633673.067, 333076.233, 9.84, 0.620393, , 
636452.067, 333074.567, 9.94, 0.610534, , 
637860.867, 333031.667, 10.04, 0.605268, , 
638047.600, 332914.667, 10.14, 0.603818, , 
641357.700, 333090.000, 10.24, 0.593359, , 
642333.467, 333030.300, 10.34, 0.589534, , 
643604.600, 333077.033, 10.44, 0.585401, , 
645601.233, 333238.300, 10.54, 0.579519, , 
646241.167, 333217.233, 10.63, 0.577147, , 
648841.533, 333091.333, 10.73, 0.567260, , 
648496.433, 333074.200, 10.84, 0.568341, , 
651070.733, 333018.900, 10.93, 0.559052, , 
651632.133, 332907.567, 11.03, 0.556360, , 
653519.700, 332921.033, 11.13, 0.549941, , 
655031.167, 333062.833, 11.23, 0.545701, , 
654671.600, 332982.400, 11.33, 0.546393, , 
656979.067, 333045.167, 11.43, 0.538899, , 
657754.367, 333031.400, 11.53, 0.536152, , 
658286.400, 333087.267, 11.63, 0.534710, , 
660259.867, 332959.600, 11.73, 0.527111, , 
661544.600, 332942.367, 11.83, 0.522620, , 
662672.167, 333134.500, 11.93, 0.520086, , 
