FlowCell Text Data File: 38.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:33:17
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
665344.267, 334834.967, -0.50, 0.522487, , 
665179.367, 334743.467, -0.40, 0.522430, , 
665163.633, 334876.933, -0.30, 0.523380, , 
664220.767, 334627.867, -0.20, 0.524898, , 
487730.233, 334602.200, -0.10, 1.219777, , 
664220.767, 334627.867, 0.00, 0.524898, , 
487730.233, 334602.200, 0.10, 1.219777, , 
350836.533, 334681.733, 0.19, 1.961700, , 
351128.067, 334696.267, 0.29, 1.959929, , 
350405.000, 334748.467, 0.39, 1.964919, , 
350468.667, 334737.133, 0.49, 1.964434, , 
350733.467, 334675.267, 0.59, 1.962318, , 
350588.833, 334593.533, 0.69, 1.962697, , 
349734.300, 334684.667, 0.79, 1.968801, , 
348778.267, 334749.667, 0.89, 1.975399, , 
347592.400, 334718.033, 0.98, 1.982851, , 
346009.867, 334656.800, 1.09, 1.992708, , 
344249.500, 334745.967, 1.19, 2.004786, , 
341934.567, 334690.900, 1.28, 2.019600, , 
339074.400, 334795.133, 1.38, 2.039204, , 
336047.733, 334790.733, 1.48, 2.059353, , 
333000.033, 334832.667, 1.58, 2.080138, , 
329678.000, 334787.800, 1.68, 2.102399, , 
325463.133, 334743.900, 1.78, 2.131061, , 
320599.133, 334605.567, 1.88, 2.164017, , 
315866.967, 334756.200, 1.98, 2.198495, , 
309971.200, 334757.700, 2.08, 2.240907, , 
303298.900, 334718.933, 2.18, 2.289617, , 
297211.767, 334749.767, 2.28, 2.335450, , 
290741.000, 334640.433, 2.38, 2.384251, , 
283948.900, 334709.733, 2.48, 2.437914, , 
276727.433, 334833.067, 2.58, 2.496718, , 
269140.800, 334854.067, 2.68, 2.559417, , 
261368.100, 334735.300, 2.78, 2.624568, , 
253546.367, 334801.600, 2.88, 2.693388, , 
245644.033, 334848.700, 2.97, 2.764961, , 
238599.600, 334855.033, 3.07, 2.830484, , 
232197.933, 334977.667, 3.18, 2.892512, , 
224214.900, 334813.467, 3.27, 2.970141, , 
217145.300, 334760.133, 3.37, 3.041882, , 
210239.533, 334807.033, 3.47, 3.114930, , 
203957.167, 334929.500, 3.57, 3.184025, , 
197716.000, 334728.733, 3.67, 3.252616, , 
193141.533, 334697.433, 3.77, 3.305084, , 
188889.267, 334612.700, 3.87, 3.354614, , 
184890.233, 334570.400, 3.97, 3.402486, , 
182010.000, 334671.167, 4.07, 3.438497, , 
179621.833, 334598.733, 4.17, 3.467734, , 
177626.667, 334670.633, 4.27, 3.493354, , 
176061.300, 334660.433, 4.36, 3.513206, , 
176171.300, 334701.833, 4.47, 3.512078, , 
177080.733, 334676.533, 4.56, 3.500321, , 
178907.200, 334766.300, 4.66, 3.477832, , 
181935.100, 334807.433, 4.77, 3.440340, , 
186224.900, 334889.033, 4.87, 3.388442, , 
191427.333, 334688.200, 4.96, 3.325085, , 
196648.467, 334722.600, 5.06, 3.264758, , 
203841.700, 334693.033, 5.16, 3.183710, , 
211599.533, 334623.300, 5.26, 3.099184, , 
221569.667, 334660.700, 5.36, 2.995821, , 
231138.867, 334814.467, 5.46, 2.901703, , 
242418.933, 334593.767, 5.56, 2.792989, , 
255369.367, 334630.733, 5.66, 2.676117, , 
269570.000, 334741.167, 5.76, 2.555072, , 
283904.567, 334613.600, 5.86, 2.437619, , 
299358.633, 334706.433, 5.96, 2.318961, , 
315901.933, 334670.100, 6.06, 2.197667, , 
332714.367, 334719.233, 6.16, 2.081307, , 
349104.433, 334772.367, 6.26, 1.973448, , 
367536.167, 334747.733, 6.35, 1.857496, , 
383092.333, 334757.367, 6.45, 1.764270, , 
400199.400, 334790.267, 6.56, 1.666177, , 
417695.400, 334889.233, 6.66, 1.570547, , 
434079.767, 334833.067, 6.75, 1.483582, , 
449510.467, 334752.333, 6.85, 1.404430, , 
465101.267, 334768.867, 6.95, 1.327810, , 
479352.900, 334735.467, 7.05, 1.259663, , 
492515.100, 334782.933, 7.15, 1.199022, , 
503271.233, 334788.667, 7.25, 1.150442, , 
515691.000, 334709.100, 7.35, 1.095045, , 
527755.900, 334621.633, 7.45, 1.042413, , 
537508.400, 334642.400, 7.55, 1.001346, , 
548837.367, 334728.200, 7.65, 0.954984, , 
557897.733, 334655.600, 7.75, 0.917648, , 
565642.467, 334748.567, 7.85, 0.887248, , 
573616.467, 334852.667, 7.95, 0.856444, , 
580988.733, 334923.500, 8.05, 0.828181, , 
586629.700, 334733.000, 8.14, 0.805156, , 
592984.467, 334741.900, 8.24, 0.780969, , 
598749.833, 334788.800, 8.35, 0.759510, , 
603454.767, 334795.233, 8.44, 0.741938, , 
607568.200, 334724.600, 8.54, 0.726175, , 
611824.533, 334588.067, 8.64, 0.709547, , 
615606.133, 334566.633, 8.74, 0.695536, , 
619124.533, 334598.500, 8.84, 0.682925, , 
622474.100, 334700.533, 8.94, 0.671468, , 
625729.133, 334725.933, 9.04, 0.659902, , 
628689.200, 334743.800, 9.14, 0.649401, , 
631013.967, 334678.200, 9.24, 0.640654, , 
633545.300, 334677.667, 9.34, 0.631641, , 
636306.800, 334785.433, 9.44, 0.622577, , 
638774.533, 334709.600, 9.54, 0.613357, , 
641279.667, 334628.100, 9.64, 0.604000, , 
642937.433, 334799.800, 9.74, 0.599345, , 
644852.300, 334693.300, 9.84, 0.591936, , 
646890.367, 334736.000, 9.93, 0.585122, , 
648280.933, 334677.400, 10.03, 0.579895, , 
649856.567, 334732.200, 10.14, 0.574801, , 
651521.100, 334820.567, 10.23, 0.569638, , 
653921.033, 334862.933, 10.33, 0.561648, , 
654900.167, 334663.267, 10.43, 0.556939, , 
656648.867, 334831.500, 10.53, 0.552069, , 
658027.967, 334904.733, 10.63, 0.547840, , 
659109.200, 334884.833, 10.73, 0.544011, , 
660032.333, 334869.367, 10.83, 0.540758, , 
661996.400, 334907.767, 10.93, 0.534329, , 
663104.767, 334944.500, 11.03, 0.530811, , 
664268.067, 334748.400, 11.13, 0.525548, , 
664619.200, 334641.467, 11.23, 0.523640, , 
666186.167, 334728.867, 11.33, 0.518928, , 
667275.667, 334827.567, 11.43, 0.515914, , 
668546.067, 334803.667, 11.53, 0.511473, , 
669119.600, 334785.767, 11.63, 0.509423, , 
669501.233, 334835.233, 11.73, 0.508473, , 
670262.467, 334683.667, 11.82, 0.504896, , 
671322.233, 334741.033, 11.92, 0.501727, , 
671945.867, 334877.300, 12.02, 0.500553, , 
672625.367, 334776.167, 12.12, 0.497599, , 
673525.500, 334812.433, 12.22, 0.494833, , 
674108.267, 334770.033, 12.32, 0.492601, , 
674799.400, 334683.967, 12.42, 0.489717, , 
675624.467, 334812.667, 12.52, 0.487832, , 
676471.700, 334792.033, 12.62, 0.484873, , 
676871.567, 334801.300, 12.72, 0.483605, , 
678382.133, 334827.400, 12.82, 0.478764, , 
678443.933, 334833.800, 12.92, 0.478602, , 
679333.400, 334690.800, 13.02, 0.474692, , 
679727.333, 334872.500, 13.12, 0.474609, , 
681046.833, 334808.933, 13.21, 0.469818, , 
680790.000, 334801.133, 13.31, 0.470614, , 
682389.833, 334776.900, 13.42, 0.465169, , 
682606.900, 334736.000, 13.52, 0.464178, , 
683748.467, 334830.533, 13.61, 0.461053, , 
683949.033, 334807.533, 13.71, 0.460239, , 
684846.400, 334837.067, 13.81, 0.457486, , 
685291.267, 334838.367, 13.91, 0.456034, , 
685767.100, 334818.100, 14.01, 0.454336, , 
686027.633, 334829.233, 14.11, 0.453556, , 
686194.967, 334787.067, 14.21, 0.452723, , 
